Name	Pos.	Height	Weight	2012 club
Zoltán Szécsi Category:Articles with hCards	GK	m ()	kg (lb)	ZF-Eger
Tamás Varga Category:Articles with hCards	CB	m ()	kg (lb)	Debreceni VSE
Norbert Madaras Category:Articles with hCards	D	m ()	kg (lb)	Pro Recco
Dénes Varga Category:Articles with hCards	D	m ()	kg (lb)	Primorje EB
Tamás Kásás Category:Articles with hCards	D	m ()	kg (lb)	Pro Recco
Norbert Hosnyánszky Category:Articles with hCards	D	m ()	kg (lb)	ZF-Eger
Gergely Kiss Category:Articles with hCards	D	m ()	kg (lb)	TEVA-Vasas-UNIQA
Márton Szivós Category:Articles with hCards	CB	m ()	kg (lb)	Grupama Honvéd
Dániel Varga Category:Articles with hCards	CB	m ()	kg (lb)	Primorje EB
Péter Biros Category:Articles with hCards	D	m ()	kg (lb)	ZF-Eger
Ádám Steinmetz Category:Articles with hCards	CF	m ()	kg (lb)	TEVA-Vasas-UNIQA
Balázs Hárai Category:Articles with hCards	CF	m ()	kg (lb)	Grupama Honvéd
Viktor Nagy Category:Articles with hCards	GK	m ()	kg (lb)	TEVA-Vasas-UNIQA
