LastDays begin	Startof Christ's Presence	Christ madeKing	Resurrection of144,000	Judgmentof Religion	Separating Sheep &Goats	Great Tribulation
LastDays begin	Startof Christ's Presence	Christ madeKing	Resurrection of144,000	Judgmentof Religion	Separating Sheep &Goats	Great Tribulation
1799	1874	1878	1878	1878	during Millenium	1914, 1915, 1918, 1920
1799	1874	1878	1878	1878	during Millenium	1925
1799	1874	1878	1878	1878	during Christ's presence	1925
1799	1874	1914	1878	1878	during Christ's presence	within generation of 1914
1799	1874	1914	1918	1878	during Christ's presence	within generation of 1914
1799	1874	1914	1918	1919	during Christ's presence	within generation of 1914
1914	1914	1914	1918	1919	during Christ's presence	within generation of 1914
1914	1914	1914	1918	1919	during Christ's presence	1975?
1914	1914	1914	1918	1919	during Great Tribulation	imminent
