Season	Winner	Prize	Runner-Up	3rd place
1	Dave Ulliott	£40,000	Peter Evans	Dave Welch
2	Simon Trumper	£40,000	Ross Boatman	Ram Vaswani
3	Phil Hellmuth, Jr.	£45,000	Adam Heller	Paul Alterman
4	Hemish Shah	£50,000	Simon Trumper	Barny Boatman
5	Padraig Parkinson	£50,000	Korosh Nejad	Joe Beevers
6	Peter Costa	£60,000	Jin Cai Lin	Lucy Rokach
Ace 1	John Shaw	£50,000	Hung Luc	Miles Adam
Ace 2	Raul Mestre	$50,000	Simon Ehne	Michiel Van Woerden
Masters	David Tighe	$100,000	Simon Ehne	Barny Boatman
7	Andreas Jorbeck	$125,000	Roland De Wolfe	Andy Black
8	Huck Seed	$200,000	Gus Hansen	Annette Obrestad
9	John Duthie	$200,000	Phil Ivey	Carlos Mortensen
10	Sam Holden	$150,000	Luke Schwartz	Rob Okell
