Place	Player	Country	Score	To par
1	Billy Joe Patton (a)	United States	70-74=144	E
2	Ben Hogan	United States	72-73=145	+1
T3	Bob Rosburg	United States	73-73=146	+2
T3	Lloyd Mangrum	United States	71-75=146	+2
T5	Tommy Bolt	United States	73-74=147	+3
T5	Sam Snead	United States	74-73=147	+3
T7	Al Besselink	United States	74-74=148	+4
T7	Lew Worsham	United States	74-74=148	+4
T7	Chick Harbert	United States	73-75=148	+4
T7	Dave Douglas	United States	72-76=148	+4
T7	Jack Burke, Jr.	United States	71-77=148	+4
T7	Peter Thomson	Australia	70-79=148	+4
