Date	Tournament	Surface	Opponent	Score
13 August 2007	Pesaro , Italy	Clay	Stephanie Vogt	6–2, 2–6, 6–1
21 August 2007	Maribor , Slovenia	Clay	Tereza Hladíková	4–6, 6–1, 4–1 ret.
4 February 2008	Mallorca , Spain	Clay	Inés Ferrer Suárez	6–3, 6–1
11 February 2008	Mallorca 2, Spain	Clay	Stephanie Vogt	4–6, 6–1, 6–3
13 April 2009	Civitavecchia , Italy	Clay	Andrea Petkovic	6–2,6–4
4 May 2009	Zagreb , Croatia	Clay	Maša Zec Peškirič	7–5, 6–2
8 June 2009	Zlín , Czech Republic	Clay	Zuzana Kučová	6–3, 6–1
8 June 2009	Cuneo , Italy	Clay	Varvara Lepchenko	6–1, 6–2
8 February 2010	Cali , Colombia	Clay	Mariana Duque-Marino	6–4, 5–7, 6–2
21 July 2013	Olomouc , Czech Republic	Clay	Katarzyna Piter	6–0, 6–3
