Rank	Country/Territory	Miss Earth	Miss Air	Miss Water	Miss Fire	Semifinalists	Total
1	Brazil	2	3	0	2	0	7
2	Philippines	1	2	2	0	5	10
3	India	1	2	0	0	3	6
4	Ecuador	1	1	0	0	1	3
5	Venezuela	1	0	3	2	2	8
6	Czech Republic	1	0	0	0	5	6
7	Bosnia and Herzegovina	1 (dethroned)	0	0	0	3	4
8	Chile	1	0	0	0	2	3
9	Honduras	1	0	0	0	1	2
10	Canada	1	0	0	0	0	1
10	Denmark	1	0	0	0	0	1
10	Kenya	1	0	0	0	0	1
13	Russia	0	1	0	0	3	4
14	Martinique	0	1	0	0	2	3
15	Dominican Republic	0	1	0	0	1	2
15	Tanzania	0	1	0	0	1	2
17	Poland	0	0	1	1	5	7
18	Thailand	0	0	1	0	5	6
19	Mexico	0	0	1	0	2	3
20	Costa Rica	0	0	1	0	1	2
20	Tahiti	0	0	1	0	1	2
22	Kazakhstan	0	0	1	0	0	1
22	Yugoslavia	0	0	1	0	0	1
24	Spain	0	0	0	2	3	5
25	Paraguay	0	0	0	1	3	4
26	Puerto Rico	0	0	0	1	1	2
26	Serbia and Montenegro	0	0	0	1	1	2
28	Argentina	0	0	0	1	0	1
28	Greece	0	0	0	1	0	1
30	USA	0	0	0	0	6	6
31	Korea	0	0	0	0	4	4
31	South Africa	0	0	0	0	4	4
33	Colombia	0	0	0	0	3	3
33	Japan	0	0	0	0	3	3
33	Peru	0	0	0	0	3	3
36	Egypt	0	0	0	0	2	2
36	France	0	0	0	0	2	2
36	Georgia	0	0	0	0	2	2
36	Italy	0	0	0	0	2	2
36	Nigeria	0	0	0	0	2	2
36	Norway	0	0	0	0	2	2
36	Romania	0	0	0	0	2	2
36	Sweden	0	0	0	0	2	2
36	Switzerland	0	0	0	0	2	2
36	Ukraine	0	0	0	0	2	2
46	Australia	0	0	0	0	1	1
46	Bahamas	0	0	0	0	1	1
46	Bolivia	0	0	0	0	1	1
46	China	0	0	0	0	1	1
46	Chinese Taipei	0	0	0	0	1	1
46	Crimea	0	0	0	0	1	1
46	Cyprus	0	0	0	0	1	1
46	El Salvador	0	0	0	0	1	1
46	Estonia	0	0	0	0	1	1
46	Finland	0	0	0	0	1	1
46	Germany	0	0	0	0	1	1
46	Guatemala	0	0	0	0	1	1
46	Israel	0	0	0	0	1	1
46	Latvia	0	0	0	0	1	1
46	Lebanon	0	0	0	0	1	1
46	Nepal	0	0	0	0	1	1
46	Netherlands	0	0	0	0	1	1
46	Nicaragua	0	0	0	0	1	1
46	Northern Ireland	0	0	0	0	1	1
46	Panama	0	0	0	0	1	1
46	Portugal	0	0	0	0	1	1
46	St. Lucia	0	0	0	0	1	1
46	Scotland	0	0	0	0	1	1
46	Singapore	0	0	0	0	1	1
46	Slovakia	0	0	0	0	1	1
46	Slovenia	0	0	0	0	1	1
46	Trinidad and Tobago	0	0	0	0	1	1
46	Vietnam	0	0	0	0	1	1
