Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	@ Chicago	W 103–95 (OT)	Andre Miller (28)	Elton Brand (14)	Andre Iguodala (5)	United Center 20,485	8–10
20	December 5	@ Detroit	W 96–91 (OT)	Andre Miller (19)	Andre Iguodala (8)	Andre Iguodala (5)	The Palace of Auburn Hills 22,076	9–11
21	December 6	New Jersey	L 84–95 (OT)	Andre Iguodala (20)	Andre Iguodala (11)	Andre Miller (5)	Wachovia Center 13,096	9–12
22	December 10	Cleveland	L 93–101 (OT)	Andre Iguodala (27)	Elton Brand (10)	Andre Miller (8)	Wachovia Center 15,550	9–13
23	December 12	@ Cleveland	L 72–88 (OT)	Willie Green (19)	Elton Brand (11)	Andre Miller (7)	Quicken Loans Arena 20,562	9–14
24	December 13	Washington	W 104–89 (OT)	Elton Brand (27)	Samuel Dalembert (17)	Andre Miller (12)	Wachovia Center 15,865	10–14
25	December 17	Milwaukee	W 93–88 (OT)	Louis Williams (25)	Reggie Evans (9)	Andre Iguodala (7)	Wachovia Center 11,538	11–14
26	December 19	@ Washington	W 109–103 (OT)	Louis Williams (26)	Andre Iguodala (9)	Andre Miller (6)	Verizon Center 18,323	12–14
27	December 20	Indiana	L 94–95 (OT)	Andre Iguodala (26)	Samuel Dalembert (14)	Andre Miller (12)	Wachovia Center 14,599	12–15
28	December 23	@ Boston	L 91–110 (OT)	Louis Williams , Marreese Speights (16)	Samuel Dalembert (13)	Louis Williams , Andre Miller (8)	TD Banknorth Garden 18,624	12–16
29	December 26	@ Denver	L 101–105 (OT)	Andre Iguodala (24)	Samuel Dalembert (13)	Andre Miller (8)	Pepsi Center 19,155	12–17
30	December 29	@ Utah	L 95–112 (OT)	Andre Iguodala , Thaddeus Young (17)	Reggie Evans (12)	Andre Miller (8)	EnergySolutions Arena 19,911	12–18
