S No	Team (A)	Team (B)	Winner	Margin	Match Date
1	India	Sri Lanka	India	10 runs	Jan 17, 1987
2	India	Zimbabwe	India	8 wickets	Oct 17, 1987
3	India	England	England	35 runs	Nov 5, 1987
4	India	West Indies	West Indies	8 wickets	Oct 30, 1989
5	Sri Lanka	West Indies	West Indies	46 runs	Nov 9, 1993
6	India	West Indies	India	8 runs	Oct 20, 1994
7	India	Australia	Australia	16 runs	Feb 27, 1996
8	India	South Africa	India	35 runs	Nov 6, 1996
9	India	South Africa	India	74 runs	Dec 14, 1996
10	India	Sri Lanka	Sri Lanka	5 wickets	May 17, 1997
11	India	Bangladesh	India	5 wickets	May 25, 1998
12	India	England	England	5 runs	Feb 3, 2002
13	India	Australia	Australia	77 runs	Nov 1, 2003
14	India	South Africa	India	5 wickets	Nov 28, 2005
15	India	Australia	India	2 wickets	Oct 17, 2007
16	Canada	New Zealand	New Zealand	97 runs	Mar 13, 2011
17	New Zealand	Sri Lanka	Sri Lanka	112 runs	Mar 18, 2011
18	India	Sri Lanka	India	6 wickets	Apr 2, 2011
19	India	England	India	6 wickets	Oct 23, 2011
