Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Winner	October 30, 1988	Baden , Switzerland ITF $10,000	Clay	Katarzyna Nowak	6–1, 6–1
Winner	December 4, 1988	Melbourne , Australia ITF $10,000	Hard	Xóchitl Escobedo	7–6 (7–3) , 6–2
Winner	May 28, 1989	Athens , Greece ITF $10,000	Clay	Dora Rangelova	6–1, 6–7, 6–1
Winner	July 16, 1989	Erlangen , Germany ITF $25,000	Clay	Wiltrud Probst	6–1, 2–6, 6–3
Winner	August 20, 1989	Budapest , Hungary ITF $25,000	Clay	Silke Frankl	6–4, 6–7, 6–0
Winner	July 8, 1990	Vaihingen , Germany ITF $25,000	Clay	Denisa Krajčovičová	6–3, 6–3
Runner-up	November 22, 1992	Nottingham , United Kingdom ITF $25,000	Carpet (I)	Elena Makarova	6–3, 2–6, 5–7
Runner-up	March 20, 1994	Reims , France ITF $25,000	Clay (I)	Catherine Mothes	1–6, 2–6
Winner	October 30, 1994	Jakarta , Indonesia ITF $50,000	Hard	Hiromi Nagano	6–4, 6–1
Winner	December 3, 1995	Limoges , France ITF $50,000	Hard	Paula Hermida	7–5, 6–3
Winner	February 25, 1996	Redbridge , United Kingdom ITF $25,000	Hard	Haruka Inoue	6–4, 6–4
Winner	March 3, 1996	Southampton , United Kingdom ITF $50,000	Carpet (I)	Isabelle Demongeot	6–3, 4–6, 6–4
Winner	April 21, 1996	Murcia , Spain ITF $75,000	Clay	Patty Schnyder	6–4, 6–3
Winner	March 29, 1998	Woodlands , CA, USA ITF $25,000	Hard	Anna Smashnova	2–6, 6–1, 7–5
