Episode number	Title	Original airing on Channel 4	Time of airing on Channel 4	Original airing on E4	Time of airing on E4	Position in Channel 4 and Channel 4+1's ratings	Position in E4 and E4+1's ratings
88	You're Gonna Love Tomorrow	22 October 2008	10.00pm-11.00pm	19 October 2008	10.00pm-11.00pm	2.39m	639,900
89	We're So Happy You're So Happy	29 October 2008	10.00pm-11.00pm	26 October 2008	10.00pm-11.00pm	1.88m	577,400
90	Kids Ain't Like Everybody Else	5 November 2008	10.00pm-11.00pm	2 November 2008	10.00pm-11.00pm	1.97m	2,534,700
91	Back in Business	12 November 2008	10.00pm-11.00pm	9 November 2008	10.00pm-11.00pm	1.77m	615,800
92	Mirror, Mirror	19 November 2008	10.20pm-11.05pm	16 November 2008	10.00pm-11.00pm	1.77m	525,900
93	There's Always a Woman	26 November 2008	10.10pm-11.10pm	23 November 2008	10.00pm-11.00pm	1.77m	761,100
94	What More Do I Need?	30 November 2008	10.10pm-11.10pm	30 November 2008	10.00pm-11.00pm	1.74	552,600
95	City on Fire	10 December 2008	10.05pm-11:05pm	7 December 2008	10.00pm-11.00pm	1.73m	601,900
96	Me and My Town	17 December 2008	10.00pm-11.00pm	14 December 2008	10.00pm-11.00pm	1.76m	1.0m
97	A Vision's Just a Vision	25 February 2009	10.00pm-11.00pm	1 March 2009	9.00pm-10.00pm	2.65m	190,500
98	Home Is the Place	4 March 2009	10.00pm-11.00pm	1 March 2009	10.00pm-11.00pm	2.01m	520,700
99	Connect! Connect!	11 March 2009	10.00pm-11.00pm	8 March 2009	10.00pm-11.00pm	1.87m	460,700
100	The Best Thing That Ever Could Have Happened	18 March 2009	10.00pm-11.00pm	15 March 2009	10.00pm-11.00pm	2.05m	503,600
101	Mama Spent Money When She Had None	25 March 2009	10.00pm-11.00pm	22 March 2009	10.00pm-11.00pm	1.95m	465,900
102	In a World Where the Kings Are Employers	1 April 2009	10.00pm-11.00pm	29 March 2009	10.00pm-11.00pm	1.91m	620,000
103	Crime Doesn't Pay	8 April 2009	10.00pm-11.00pm	5 April 2009	10.00pm-11.00pm	1.81m	623,700
104	The Story of Lucy and Jessie	15 April 2009	10.00pm-11.00pm	12 April 2009	10.00pm-11.00pm	1.94m	622,800
105	A Spark. To Pierce the Dark.	22 April 2009	10.00pm-11.00pm	19 April 2009	10.00pm-11.00pm	1.88m	674,300
106	Look Into Their Eyes and You See What They Know	29 April 2009	10.00pm-11.00pm	26 April 2009	10.00pm-11.00pm	1.83m	744,900
107	Rose's Turn	6 May 2009	10:00pm–11:00pm	3 May 2009	10:00pm–11:00pm	2.03m	703,100
108	Bargaining	13 May 2009	10:00pm–11:00pm	10 May 2009	10:00pm–11:00pm	2.03m	555,100
109	Marry Me a Little	20 May 2009	10:00pm–11:00pm	17 May 2009	10:00pm–11:00pm	1.76m	529,400
110	Everybody Says Don't	27 May 2009	10:00pm–11:00pm	24 May 2009	10:00pm–11:00pm	1.87m	523,600
111	If It's Only In Your Head	3 June 2009	10:00pm–11:00pm	31 May 2009	10:00pm–11:00pm	1.87m	780,200
