Date	Opponent	Score	Loss	Record
August 1	@ Red Sox	6 - 2	Sele (7-7)	50-54
August 1	@ Red Sox	4 - 3	Cornett (1-3)	50-55
August 2	@ Red Sox	8 - 7	Bankhead (3-1)	51-55
August 3	@ Red Sox	7 - 2	Leiter (6-6)	51-56
August 4	@ Red Sox	5 - 2	Clemens (9-7)	52-56
August 5	Tigers	4 - 2	Wells (4-7)	53-56
August 6	Tigers	3 - 2	Hentgen (13-8)	53-57
August 7	Tigers	8 - 7	Castillo (5-2)	53-58
August 8	Indians	6 - 1	Leiter (6-7)	53-59
August 9	Indians	12 - 5	Lopez (1-2)	54-59
August 10	Indians	5 - 3	Guzman (12-11)	54-60
August 11	@ Yankees	8 - 7 (13)	Ausanio (2-1)	55-60
