Start Date/Time	Duration	End Time	Spacecraft	Crew
10 March 16:22	4 hours 49 minutes	21:11	Expedition 18 ISS Pirs	Yuri Lonchakov Michael Fincke
19 March 17:16	6 hours 7 minutes	23:23	STS-119 ISS Quest	Steven Swanson Richard R. Arnold
21 March 16:51	6 hours 30 minutes	23:21	STS-119 ISS Quest	Steven Swanson Joseph M. Acaba
23 March 15:37	6 hours 27 minutes	22:04	STS-119 ISS Quest	Joseph M. Acaba Richard R. Arnold
14 May 12:52	7 hours 20 minutes	20:12	STS-125 Atlantis	John M. Grunsfeld Andrew J. Feustel
15 May 12:49	7 hours 56 minutes	20:46	STS-125 Atlantis	Michael J. Massimino Michael T. Good
16 May 13:35	6 hours 36 minutes	20:11	STS-125 Atlantis	John M. Grunsfeld Andrew J. Feustel
17 May 13:45	8 hours 2 minutes	21:47	STS-125 Atlantis	Michael J. Massimino Michael T. Good
18 May 13:20	7 hours 2 minutes	20:22	STS-125 Atlantis	John M. Grunsfeld Andrew J. Feustel
5 June 07:52	4 hours 54 minutes	12:46	Expedition 20 ISS Pirs	Gennady Padalka Michael R. Barratt
10 June 06:55	12 minutes	07:07	Expedition 20 ISS Zvezda	Gennady Padalka Michael R. Barratt
18 July 16:19	5 hours 32 minutes	21:51	STS-127 ISS Quest	David Wolf Timothy L. Kopra
20 July 15:27	6 hours 53 minutes	22:20	STS-127 ISS Quest	David Wolf Thomas Marshburn
22 July 14:32	5 hours 59 minutes	20:31	STS-127 ISS Quest	David Wolf Christopher Cassidy
24 July 13:54	7 hours 12 minutes	21:06	STS-127 ISS Quest	Christopher Cassidy Thomas Marshburn
27 July 11:33	4 hours 54 minutes	16:27	STS-127 ISS Quest	Christopher Cassidy Thomas Marshburn
1 September 21:49	6 hours 35 minutes	2 September 04:24	STS-128 ISS Quest	John D. Olivas Nicole P. Stott
3 September 22:13	6 hours 39 minutes	4 September 04:51	STS-128 ISS Quest	John D. Olivas Christer Fuglesang
5 September 20:39	7 hours 1 minute	6 September 03:40	STS-128 ISS Quest	John D. Olivas Christer Fuglesang
19 November 14:24	6 hours 37 minutes	21:01	STS-129 ISS Quest	Michael Foreman Robert Satcher
21 November 14:31	6 hours 8 minutes	20:39	STS-129 ISS Quest	Michael Foreman Randolph Bresnik
23 November 13:24	5 hours 42 minutes	19:06	STS-129 ISS Quest	Robert Satcher Randolph Bresnik
