Name	Years	Area	Authority	Decile	Roll
Avon School	1–8	Stratford	State	1	48
Huiakama School	1–8	Huiakama	State	6	13
Makahu School	1–8	Makahu	State	6	12
Marco School	1–8	Marco	State	8	16
Midhirst School	1–8	Midhirst	State	6	79
Ngaere School	1–8	Ngaere	State	8	164
Pembroke School	1–8	Pembroke	State	6	48
St Joseph's School	1–8	Stratford	State integrated	6	216
St Mary's Diocesan School	9–15	Stratford	State integrated	6	128
Stratford High School	9–15	Stratford	State	4	533
Stratford High School Teen Parent Unit	–	Stratford	State	1	n/a
Stratford Primary School	1–8	Stratford	State	4	428
Toko School	1–8	Toko	State	8	117
