Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	158	30	29	217
2	Spain	22	22	60	104
3	Chinese Taipei	14	25	37	76
4	United States	13	19	47	79
5	Iran	11	16	18	45
6	Turkey	10	18	30	58
7	China	9	9	9	27
8	France	6	10	15	31
9	Germany	5	12	32	49
10	Mexico	4	27	30	61
11	Netherlands	4	5	15	24
12	Thailand	3	5	11	19
13	Cuba	3	3	6	12
14	Denmark	2	6	3	11
14	Great Britain	2	6	3	11
16	Croatia	2	5	10	17
17	Egypt	2	3	12	17
18	Mali	2	0	1	3
19	Canada	1	11	13	25
20	Russia	1	5	10	16
21	Brazil	1	4	7	12
22	Greece	1	3	9	13
23	Ecuador	1	2	1	4
24	Australia	1	1	17	19
25	Azerbaijan	1	1	8	10
26	Gabon	1	0	0	1
27	Italy	0	5	15	20
28	Philippines	0	5	6	11
29	Morocco	0	3	7	10
30	Ivory Coast	0	2	11	13
31	Afghanistan	0	2	2	4
31	Puerto Rico	0	2	2	4
33	Chile	0	2	1	3
34	Indonesia	0	2	0	2
34	Uzbekistan	0	2	0	2
36	Japan	0	1	5	6
37	Venezuela	0	1	4	5
38	Argentina	0	1	3	4
39	Jordan	0	1	2	3
40	Bahrain	0	1	0	1
40	Guam	0	1	0	1
40	Portugal	0	1	0	1
43	Kazakhstan	0	0	6	6
43	Sweden	0	0	6	6
45	Dominican Republic	0	0	5	5
45	Serbia	0	0	5	5
45	Vietnam	0	0	5	5
48	Belarus	0	0	3	3
48	Norway	0	0	3	3
48	Saudi Arabia	0	0	3	3
48	Senegal	0	0	3	3
48	Switzerland	0	0	3	3
48	Tunisia	0	0	3	3
54	Austria	0	0	2	2
54	Belgium	0	0	2	2
54	Cyprus	0	0	2	2
54	Finland	0	0	2	2
54	Guatemala	0	0	2	2
54	Hungary	0	0	2	2
54	Malaysia	0	0	2	2
54	Nepal	0	0	2	2
54	Slovenia	0	0	2	2
63	Colombia	0	0	1	1
63	Costa Rica	0	0	1	1
63	Israel	0	0	1	1
63	Nigeria	0	0	1	1
63	Poland	0	0	1	1
63	Uganda	0	0	1	1
Total	Total	280	280	560	1120
