Week	Date	Opponent	Result	Attendance
1	September 29, 1957	at Cleveland Browns	L 6–3	58,095
2	October 5, 1957	at Philadelphia Eagles	W 24–20	28,342
3	October 13, 1957	at Washington Redskins	W 24–20	39,086
4	October 20, 1957	Pittsburgh Steelers	W 35–0	52,589
5	October 27, 1957	Washington Redskins	L 31–14	40,416
6	November 3, 1957	at Green Bay Packers	W 31–17	32,070
7	November 10, 1957	Chicago Cardinals	W 27–14	46,402
8	November 17, 1957	Philadelphia Eagles	W 13–0	42,845
9	November 24, 1957	at Chicago Cardinals	W 28–21	19,200
10	December 1, 1957	San Francisco 49ers	L 27–17	54,121
11	December 7, 1957	at Pittsburgh Steelers	L 21–10	19,772
12	December 15, 1957	Cleveland Browns	L 34–28	54,294
