Place	Player	Country	Score	To par	Money ( £ )
1	Tom Lehman	United States	67-67-64-73=271	–13	200,000
T2	Ernie Els	South Africa	68-67-71-67=273	–11	125,000
T2	Mark McCumber	United States	67-69-71-66=273	–11	125,000
4	Nick Faldo	England	68-68-68-70=274	–10	75,000
T5	Mark Brooks	United States	67-70-68-71=276	–8	50,000
T5	Jeff Maggert	United States	69-70-72-65=276	–8	50,000
T7	Fred Couples	United States	67-70-69-71=277	–7	35,000
T7	Peter Hedblom	Sweden	70-65-75-67=277	–7	35,000
T7	Greg Norman	Australia	71-68-71-67=277	–7	35,000
T7	Greg Turner	New Zealand	72-69-68-68=277	–7	35,000
