Edition	Round	Date	Surface	Opponent	Result
1988 World Group I	QR	December 4, 1988	Hard	Sarah Rafael	6–3, 6–2
1988 World Group I	R1	December 5, 1988	Hard	Catarina Lindqvist	5–7, 3–6
1988 World Group I	PO	December 6, 1988	Hard	Carol Cassar-Torreggiani	7–6 (7–5) , 6–3
1988 World Group I	PO	December 7, 1988	Hard	Brenda Schultz-McCarthy	6–4, 6–7 (5–7) , 5–7
1990 World Group I	QR	July 21, 1990	Hard	Sarah Castillejo	6–2, 6–0
1990 World Group I	R1	July 22, 1990	Hard	Judith Wiesner	0–6, 0–6
1990 World Group I	PO	July 23, 1990	Hard	Amy Jonsson-Råholt	6–4, 6–3
1990 World Group I	PO	July 24, 1990	Hard	Claudia Chabalgoity	2–6, 6–2, 4–6
1992 World Group I Play-offs	PO	July 17, 1992	Clay	Anna Földényi	4–6, 2–6
↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓
1999 World Group II	QF	April 24, 1999	Clay	Shinobu Asagoe	6–7 (6–8) , 1–6
1999 World Group II	QF	April 25, 1999	Clay	Miho Saeki	7–6 (10–8) , 6–3
