Model	Seats	Period	Built	Country
Saab 90 Scandia	24-32	1946-1954	18	Sweden
Aérospatiale N 262	23-29	1962-1976	110	France
Short SC.7 Skyvan	19	1963–1986	153	United Kingdom
De Havilland Canada DHC-6 Twin Otter	19	1965–1988, 2008–present	846	Canada
Embraer EMB 110 Bandeirante	18-21	1968–1990	500	Brazil
Handley Page Jetstream	16	1969-1993	66	United Kingdom
Let L-410 Turbolet	19	1971-present	1,138	Czech Republic
Short 330	30	1974–1992	125	United Kingdom
CASA C-212 Aviocar	26	1974–present	578	Spain
Antonov An-28 / PZL M28	18	1975-1993 / 1993-2006	191 / 39	Ukraine / Poland
BAe Jetstream	18	1980-1993	386	United Kingdom
Short 360	36-39	1981–1991	165	United Kingdom
Saab 340 , pressurized	37	1983-1999	459	Sweden
Embraer EMB 120 Brasilia , pressurized	30	1983–2001	354	Brazil
Cessna 208	14	1984-present	2,000+	United States
Harbin Y-12	17	1985-present	105	People's Republic of China
BAe Jetstream 41 , pressurized	29	1992–1997	100	United Kingdom
Dornier 328 , pressurized	30	1992-2005	217	Germany
Saab 2000 , pressurized	50-58	1994-1999	64	Sweden
