Rank	Nation	Gold	Silver	Bronze	Total
1	China (CHN)	43	7	3	53
2	Iran (IRI)	4	3	5	12
3	Malaysia (MAS)	3	1	5	9
4	Hong Kong (HKG)	2	9	4	15
5	Thailand (THA)	2	3	6	11
6	Japan (JPN)	1	6	5	12
7	Philippines (PHI)	1	5	8	14
8	Macau (MAC)	1	5	4	10
9	South Korea (KOR)	1	4	6	11
10	Chinese Taipei (TPE)	1	3	11	15
11	Myanmar (MYA)	1	1	2	4
12	Vietnam (VIE)	0	9	7	16
13	Indonesia (INA)	0	2	2	4
14	Laos (LAO)	0	1	5	6
15	India (IND)	0	1	2	3
16	Pakistan (PAK)	0	1	1	2
17	Singapore (SIN)	0	0	5	5
18	Mongolia (MGL)	0	0	3	3
19	Kazakhstan (KAZ)	0	0	2	2
20	Yemen (YEM)	0	0	1	1
Total	Total	60	61	87	208
