Year	Driver	Constructor	Category	Location	Report
1958	Stirling Moss	Vanwall	Formula One	Ain-Diab	Report
1957	Jean Behra	Maserati	Formula One	Ain-Diab	Report
1956	Maurice Trintignant	Ferrari	Sports cars	Agadir	Report
1955	Mike Sparken	Ferrari	Sports cars	Agadir	Report
1954	Giuseppe Farina	Ferrari	Sports cars	Agadir	Report
1953 - 1935	Not held	Not held	Not held	Not held	Not held
1934	Louis Chiron	Alfa Romeo	s Touring car	Anfa	Report
1933	Not held	Not held	Not held	Not held	Not held
1932	Marcel Lehoux	Bugatti	s Touring car	Anfa	Report
1931	Stanisław Czaykowski	Bugatti	s Touring car	Anfa	Report
1930	Charles Bénitah	Amilcar	s Touring car	Anfa	Report
1929	Not held	Not held	Not held	Not held	Not held
1928	E. Meyer	Bugatti	s Touring car	Casablanca	Report
1927	G. Roll	Georges Irat	s Touring car	Casablanca	Report
1926	R. Meyerl	Bugatti	s Touring car	Casablanca	Report
1925	Comte de Vaugelas	Delage	s Touring car	Casablanca	Report
