Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	7-3	Matt Hamill	TKO (punches)	UFC 92	2	2:19	Las Vegas, Nevada , United States
Loss	7-2	Brandon Vera	Decision (unanimous)	UFC: Silva vs. Irvin	3	5:00	Las Vegas, Nevada , United States
Win	7-1	Krzysztof Soszynski	Decision (split)	IFL: Everett	3	4:00	Everett, Washington , United States
Win	6-1	Adam Maciejewski	Submission (rear-naked choke)	IFL: Moline	2	3:11	Moline, Illinois , United States
Win	5-1	Justin Levens	Decision (unanimous)	IFL: Oakland	3	4:00	Oakland, California , United States
Win	4-1	Jamal Patterson	TKO (punches)	IFL: Championship Final	2	3:24	Uncasville, Connecticut , United States
Loss	3-1	Aaron Stark	TKO (punches)	IFL: Portland	3	2:00	Portland, Oregon , United States
Win	3-0	Mike Ciesnolevicz	Decision (split)	IFL: Championship 2006	3	4:00	Atlantic City, New Jersey , United States
Win	2-0	Trevor Garrett	Submission (rear-naked choke)	Superbrawl: Icon	1	4:15	Honolulu, Hawaii , United States
Win	1-0	Kala Hose	Decision (unanimous)	Superbrawl 39	3	5:00	Honolulu, Hawaii , United States
