Driver	AAA (1902–1955)	USAC (1956–1995)	CART (1979–2003)	Champ Car World Series (2004–2007)	IZOD IndyCar Series (1996–present)	Combined Total
A. J. Foyt Category:Articles with hCards	0	67	0	0	0	67
Mario Andretti Category:Articles with hCards	0	33	19	0	0	52
Michael Andretti Category:Articles with hCards	0	0	42	0	0	42
Al Unser, Sr. Category:Articles with hCards	0	36	3	0	0	39
Bobby Unser Category:Articles with hCards	0	25	10	0	0	35
Al Unser, Jr. Category:Articles with hCards	0	2	29	0	3	34
Scott Dixon Category:Articles with hCards	0	0	1	0	32	33
Paul Tracy Category:Articles with hCards	0	0	26	5	0	31
Sébastien Bourdais Category:Articles with hCards	0	0	3	28	0	31
Dario Franchitti Category:Articles with hCards	0	0	10	0	21	31
Rick Mears Category:Articles with hCards	0	7	22	0	0	29
Hélio Castroneves Category:Articles with hCards	0	0	6	0	22	28
Johnny Rutherford Category:Articles with hCards	0	18	9	0	0	27
Rodger Ward Category:Articles with hCards	2	24	0	0	0	26
Gordon Johncock Category:Articles with hCards	0	20	5	0	0	25
Ralph DePalma Category:Articles with hCards	24	0	0	0	0	24
Bobby Rahal Category:Articles with hCards	0	1	23	0	0	24
Emerson Fittipaldi Category:Articles with hCards	0	2	20	0	0	22
Tony Bettenhausen Category:Articles with hCards	19	3	0	0	0	22
Will Power Category:Articles with hCards	0	0	0	2	19	21
Earl Cooper Category:Articles with hCards	20	0	0	0	0	20
Tommy Milton Category:Articles with hCards	20	0	0	0	0	20
Sam Hornish, Jr. Category:Articles with hCards	0	0	0	0	19	19
Ralph Mulford Category:Articles with hCards	19	0	0	0	0	19
Jimmy Bryan Category:Articles with hCards	12	7	0	0	0	19
Danny Sullivan Category:Articles with hCards	0	1	16	0	0	17
Jimmy Murphy Category:Articles with hCards	17	0	0	0	0	17
Dan Wheldon Category:Articles with hCards	0	0	0	0	16	16
Tony Kanaan Category:Articles with hCards	0	0	1	0	15	16
Alex Zanardi Category:Articles with hCards	0	0	15	0	0	15
Louis Chevrolet Category:Articles with hCards	14	0	0	0	0	14
Tom Sneva Category:Articles with hCards	0	4	9	0	0	13
Gil de Ferran Category:Articles with hCards	0	0	7	0	5	12
Cristiano da Matta Category:Articles with hCards	0	0	11	1	0	12
Eddie Hearne Category:Articles with hCards	11	0	0	0	0	11
Adrian Fernández Category:Articles with hCards	0	0	8	0	3	11
Johnnie Parsons Category:Articles with hCards	11	0	0	0	0	11
Juan Pablo Montoya Category:Articles with hCards	0	0	10	0	1	11
Ryan Hunter-Reay Category:Articles with hCards	0	0	1	1	9	11
Jimmy Vasser Category:Articles with hCards	0	0	10	0	0	10
Pete DePaolo Category:Articles with hCards	10	0	0	0	0	10
Dario Resta Category:Articles with hCards	10	0	0	0	0	10
Kenny Bräck Category:Articles with hCards	0	0	5	0	4	9
Scott Sharp Category:Articles with hCards	0	0	0	0	9	9
Frank Lockhart Category:Articles with hCards	9	0	0	0	0	9
Bruno Junqueira Category:Articles with hCards	0	0	5	3	0	8
Rex Mays Category:Articles with hCards	8	0	0	0	0	8
Buddy Lazier Category:Articles with hCards	0	0	0	0	8	8
Eddie Sachs Category:Articles with hCards	0	8	0	0	0	8
Louis Meyer Category:Articles with hCards	8	0	0	0	0	8
Johnny Aitken Category:Articles with hCards	8	0	0	0	0	8
Arie Luyendyk Category:Articles with hCards	0	1	2	0	4	7
Dan Gurney Category:Articles with hCards	0	7	0	0	0	7
Lloyd Ruby Category:Articles with hCards	0	7	0	0	0	7
Johnny Thomson Category:Articles with hCards	1	6	0	0	0	7
Harry Hartz Category:Articles with hCards	7	0	0	0	0	7
Eddie Rickenbacker Category:Articles with hCards	7	0	0	0	0	7
Justin Wilson Category:Articles with hCards	0	0	0	4	3	7
Ryan Briscoe Category:Articles with hCards	0	0	0	0	7	7
Don Branson Category:Articles with hCards	0	6	0	0	0	6
Parnelli Jones Category:Articles with hCards	0	6	0	0	0	6
Joe Leonard Category:Articles with hCards	0	6	0	0	0	6
Danny Ongais Category:Articles with hCards	0	6	0	0	0	6
Roscoe Sarles Category:Articles with hCards	6	0	0	0	0	6
Bob Burman Category:Articles with hCards	6	0	0	0	0	6
Wilbur Shaw Category:Articles with hCards	6	0	0	0	0	6
Bill Cummings Category:Articles with hCards	6	0	0	0	0	6
Mauri Rose Category:Articles with hCards	6	0	0	0	0	6
Gary Bettenhausen Category:Articles with hCards	0	6	0	0	0	6
Ted Horn Category:Articles with hCards	5	0	0	0	0	5
Patrick Carpentier Category:Articles with hCards	0	0	4	1	0	5
Scott Goodyear Category:Articles with hCards	0	0	2	0	3	5
Greg Ray Category:Articles with hCards	0	0	0	0	5	5
A. J. Allmendinger Category:Articles with hCards	0	0	0	5	0	5
Nigel Mansell Category:Articles with hCards	0	0	5	0	0	5
Teo Fabi Category:Articles with hCards	0	0	5	0	0	5
Eddie Cheever Category:Articles with hCards	0	0	0	0	5	5
Jacques Villeneuve Category:Articles with hCards	0	1	4	0	0	5
Greg Moore Category:Articles with hCards	0	0	5	0	0	5
Jim McElreath Category:Articles with hCards	0	5	0	0	0	5
Jud Larson Category:Articles with hCards	0	5	0	0	0	5
Roger McCluskey Category:Articles with hCards	0	5	0	0	0	5
Mike Mosley Category:Articles with hCards	0	4	1	0	0	5
