Character	Code	Name	Version	Year
Ͳ	U+0372	GREEK CAPITAL LETTER ARCHAIC SAMPI	5.1	2008
ͳ	U+0373	GREEK SMALL LETTER ARCHAIC SAMPI	5.1	2008
Ϡ	U+03E0	GREEK LETTER SAMPI	1.1	1993
ϡ	U+03E1	GREEK SMALL LETTER SAMPI	3.0	1999
Ϸ	U+03F7	GREEK CAPITAL LETTER SHO	4.0	2003
ϸ	U+03F8	GREEK SMALL LETTER SHO	4.0	2003
Ϻ	U+03FA	GREEK CAPITAL LETTER SAN	4.0	2003
ϻ	U+03FB	GREEK SMALL LETTER SAN	4.0	2003
Ⳁ	U+2CC0	COPTIC CAPITAL LETTER SAMPI	4.1	2005
ⳁ	U+2CC1	COPTIC SMALL LETTER SAMPI	4.1	2005
��	U+1034A	GOTHIC LETTER NINE HUNDRED	3.1	2001
