Place	Player	Country	Score	To par
T1	Ángel Cabrera	Argentina	68-68-69=205	–11
T1	Kenny Perry	United States	68-67-70=205	–11
3	Chad Campbell	United States	65-70-72=207	–9
4	Jim Furyk	United States	66-74-68=208	–8
5	Steve Stricker	United States	72-69-68=209	–7
T6	Todd Hamilton	United States	68-70-72=210	–6
T6	Shingo Katayama	Japan	67-73-70=210	–6
T6	Rory Sabbatini	South Africa	73-67-70=210	–6
9	Tim Clark	South Africa	68-71-72=211	–5
T10	Stephen Ames	Canada	73-68-71=212	–4
T10	Anthony Kim	United States	75-65-72=212	–4
T10	Hunter Mahan	United States	66-75-71=212	–4
T10	Phil Mickelson	United States	73-68-71=212	–4
T10	Sean O'Hair	United States	68-76-68=212	–4
T10	Ian Poulter	England	71-73-68=212	–4
T10	Lee Westwood	England	70-72-70=212	–4
T10	Tiger Woods	United States	70-72-70=212	–4
