Result	Opponent	Type	Rd., Time	Date	Location
Result	Opponent	Type	Rd., Time	Date	Location
Loss	John Murray	TKO,	4 (12),	October 3, 2009	Altrincham , Greater Manchester
Loss	Tom Glover	PTS,	8 (8),	July 18, 2009	York Hall , Bethnal Green , London
Loss	Anthony Mazaache	PTS,	12 (12),	February 28, 2009	Norwich , Norfolk
Win	Juan Carlos Melero Diaz	KO	3 (3),	October 4, 2008	Norwich , Norfolk
Loss	Yuri Romanov	TKO	6 (3),	April 4, 2008	York Hall , Bethnal Green , London
Win	Dave Stewart	TKO	12 (12), 1:24	October 5, 2007	York Hall , Bethnal Green , London
Win	Scott Lawton	KO	7 (12), 2:40	March 16, 2007	Norwich Showground, Norwich , Norfolk
Win	Lee Meager	UD	12 (12),	December 8, 2006	Goresbrook Leisure Centre, Dagenham , London
Win	Jorge Daniel Miranda	PTS	10 (10),	May 13, 2006	Ponds Forge Arena , Sheffield , Yorkshire
Win	Alan Temple	TKO	5 (8),	February 17, 2006	York Hall , Bethnal Green , London
Win	Vasile Dragomir	KO	4 (12), 0:20	September 3, 2005	Carrow Road , Norwich , Norfolk
Win	Christophe De Busillet	KO	4 (12),	April 9, 2005	Sports Village, Norwich , Norfolk
Win	Carl Allen	KO	1 (4), 1:41	December 13, 2004	Holiday Inn , Birmingham , United Kingdom
Win	Silence Saheed	PTS	6 (6),	October 9, 2004	Sports Village, Norwich , Norfolk
Win	Victor Baranov	TKO	1 (0),	September 21, 2002	Sports Village, Norwich , Norfolk
Win	Mark Waelkens	PTS	7 (0),	June 15, 2002	Sports Village, Norwich , Norfolk
Win	John Chill	PTS	2 (0),	April 13, 2002	Sports Village, Norwich , Norfolk
Loss	Eamonn Magee	PTS	6 (12),	February 9, 2002	M.E.N. Arena , Manchester , United Kingdom
Win	David Kirk	PTS	4 (4),	July 28, 2001	Conference Centre, Wembley , London
Win	Alan Temple	PTS	4 (4),	March 26, 2001	Conference Centre, Wembley , London
Loss	Ricky Hatton	PTS	12 (12),	October 21, 2000	Conference Centre, Wembley , London
Win	Kimoun Kouassi	TKO	3 (0),	July 15, 2000	Sports Village, Norwich , Norfolk
Loss	Jason Rowland	TKO	5 (12),	November 15, 1999	York Hall , Bethnal Green , London
Win	Brian Coleman	PTS	6 (6),	August 7, 1999	Goresbrook Leisure Centre, Dagenham, Essex
Win	Karl Taylor	PTS	6 (6),	May 15, 1999	Ponds Forge Arena, Sheffield, Yorkshire
Loss	Emanuel Augustus	KO	7 (12),	September 26, 1998	Sports Village, Norwich , Norfolk
