Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Feitl, Dave Dave Feitl	5	7-0	Center	1986-86, 1990-91	Texas-El Paso
Finkel, Hank Hank Finkel	17	7-0	Center	1967-69	Dayton
Fitch, Gerald Gerald Fitch	0	6-3	Guard	2006	Kentucky
Floyd, Sleepy Sleepy Floyd	11, 21	6-3	Guard	1987-93	Georgetown
Flynn, Johnny Johnny Flynn	3	6-0	Guard	2012	Syracuse
Ford, Alton Alton Ford	1	6-9	Forward	2003-04	Houston
Ford, Phil Phil Ford	1	6-2	Guard	1983-85	North Carolina
Frahm, Rickie Richie Frahm	14	6-5	Guard	2005-06	Gonzaga
Francis, Steve Steve Francis	3	6-3	Guard	1999-2004, 2007-08	Maryland
Free, World B. World B. Free	21	6-3	Guard	1987-88	Guilford
