Rd.	Grand Prix	Pole position	Fastest lap	Winning driver	Winning constructor	Report
1	Australian Grand Prix	Lewis Hamilton	Jenson Button	Jenson Button	McLaren - Mercedes	Report
2	Malaysian Grand Prix	Lewis Hamilton	Kimi Räikkönen	Fernando Alonso	Ferrari	Report
3	Chinese Grand Prix	Nico Rosberg	Kamui Kobayashi	Nico Rosberg	Mercedes	Report
4	Bahrain Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
5	Spanish Grand Prix	Pastor Maldonado	Romain Grosjean	Pastor Maldonado	Williams - Renault	Report
6	Monaco Grand Prix	Mark Webber	Sergio Pérez	Mark Webber	Red Bull - Renault	Report
7	Canadian Grand Prix	Sebastian Vettel	Sebastian Vettel	Lewis Hamilton	McLaren - Mercedes	Report
8	European Grand Prix	Sebastian Vettel	Nico Rosberg	Fernando Alonso	Ferrari	Report
9	British Grand Prix	Fernando Alonso	Kimi Räikkönen	Mark Webber	Red Bull - Renault	Report
10	German Grand Prix	Fernando Alonso	Michael Schumacher	Fernando Alonso	Ferrari	Report
11	Hungarian Grand Prix	Lewis Hamilton	Sebastian Vettel	Lewis Hamilton	McLaren - Mercedes	Report
12	Belgian Grand Prix	Jenson Button	Bruno Senna	Jenson Button	McLaren - Mercedes	Report
13	Italian Grand Prix	Lewis Hamilton	Nico Rosberg	Lewis Hamilton	McLaren - Mercedes	Report
14	Singapore Grand Prix	Lewis Hamilton	Nico Hülkenberg	Sebastian Vettel	Red Bull - Renault	Report
15	Japanese Grand Prix	Sebastian Vettel	Sebastian Vettel	Sebastian Vettel	Red Bull - Renault	Report
16	Korean Grand Prix	Mark Webber	Mark Webber	Sebastian Vettel	Red Bull - Renault	Report
17	Indian Grand Prix	Sebastian Vettel	Jenson Button	Sebastian Vettel	Red Bull - Renault	Report
18	Abu Dhabi Grand Prix	Lewis Hamilton	Sebastian Vettel	Kimi Räikkönen	Lotus - Renault	Report
19	United States Grand Prix	Sebastian Vettel	Sebastian Vettel	Lewis Hamilton	McLaren - Mercedes	Report
