Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Murcia	38	54+16	24	6	8	61	26	+35
2	Elche CF	38	50+12	20	10	8	48	28	+20
3	Racing de Santander	38	48+10	20	8	10	41	37	+4
4	Sevilla CF	38	44+6	16	12	10	45	29	+16
5	Real Valladolid	38	42+4	15	12	11	42	32	+10
6	CD San Andrés	38	40+2	14	12	12	49	51	-2
7	Cádiz CF	38	39+1	14	11	13	51	45	+6
8	Baracaldo CF	38	39+1	14	11	13	43	48	-5
9	Hércules CF	38	39+1	16	7	15	42	39	+3
10	RCD Mallorca	38	39+1	15	9	14	37	33	+4
11	Rayo Vallecano	38	37-1	15	7	16	58	50	+8
12	CD Sabadell	38	36-2	12	12	14	45	50	-5
13	Córdoba CF	38	35-3	13	9	16	45	46	-1
14	CD Tenerife	38	35-3	13	9	16	36	38	-2
15	CA Osasuna	38	34-4	13	8	17	32	49	-17
16	Gimnástico de Tarragona	38	33-5	12	9	17	35	48	-13
17	CD Logroñés	38	30-8	8	14	16	40	48	-8
18	Pontevedra CF	38	30-8	10	10	18	37	50	-13
19	Cultural Leonesa	38	30-8	10	10	18	37	53	-16
20	CD Mestalla	38	26-12	6	14	18	29	53	-24
