Rank	Title	Studio	Director(s)	Gross
1.	Star Wars Episode V: The Empire Strikes Back	Lucasfilm / 20th Century Fox	Irvin Kershner	$290,475,067
2.	9 to 5	20th Century Fox	Colin Higgins	$103,290,500
3.	Stir Crazy	Columbia	Sidney Poitier	$101,300,000
4.	Airplane!	Paramount	David Zucker , Jim Abrahams and Jerry Zucker	$83,453,539
5.	Any Which Way You Can	Warner Bros.	Buddy Van Horn	$70,687,344
6.	Private Benjamin	Warner Bros.	Howard Zieff	$69,847,348
7.	Coal Miner's Daughter	Universal	Michael Apted	$67,182,787
8.	Smokey and the Bandit II	Rastar / Universal	Hal Needham	$66,132,626
9.	The Blue Lagoon	Columbia	Randal Kleiser	$58,853,106
10.	The Blues Brothers	Universal	John Landis	$57,229,890
11.	Ordinary People	Paramount	Robert Redford	$54,766,923
12.	Popeye	Paramount	Robert Altman	$49,823,037
13.	Urban Cowboy	Paramount	James Bridges	$46,918,287
14.	The Shining	Warner Bros.	Stanley Kubrick	$44,017,374
15.	Seems Like Old Times	Rastar / Columbia	Jay Sandrich	$43,995,918
16.	Cheech & Chong's Next Movie	Universal	Tommy Chong	$41,675,194
17.	Caddyshack	Orion / Warner Bros.	Harold Ramis	$39,846,344
18.	Friday the 13th	Paramount	Sean S. Cunningham	$39,754,601
19.	Brubaker	20th Century Fox	Stuart Rosenberg	$37,121,708
20.	Little Darlings	Paramount	Ronald F. Maxwell	$34,326,249
21.	Dressed to Kill	Filmways	Brian De Palma	$31,899,000
22.	The Jazz Singer	Associated Film Distribution	Richard Fleischer and Sidney J. Furie	$27,118,000
23.	Flash Gordon	Universal	Mike Hodges	$27,107,960
24.	The Elephant Man	Paramount	David Lynch	$26,010,864
25.	Bronco Billy	Warner Bros.	Clint Eastwood	$24,265,659
26.	Raging Bull	United Artists	Martin Scorsese	$23,334,953
27.	Xanadu	Universal	Robert Greenwald	$22,762,571
28.	American Gigolo	Paramount	Paul Schrader	$22,743,674
29.	My Bodyguard	20th Century Fox	Tony Bill	$22,482,952
30.	The Fog	Avco Embassy	John Carpenter	$21,378,361
31.	Fame	United Artists / MGM	Alan Parker	$21,202,829
32.	Tess	Columbia	Roman Polanski	$20,093,330
33.	Altered States	Warner Bros.	Ken Russell	$19,853,892
34.	Cruising	Lorimar / United Artists	William Friedkin	$19,784,223
35.	The Octagon	American Cinema	Eric Karson	$18,971,000
36.	Honeysuckle Rose	Warner Bros.	Jerry Schatzberg	$17,815,212
37.	Herbie Goes Bananas	Disney	Vincent McEveety	$17,000,000
38.	Rough Cut	Paramount	Don Siegel	$16,656,125
39.	The Final Countdown	United Artists	Don Taylor	$16,647,800
40.	The Hunter	Rastar / Paramount	Buzz Kulik	$16,274,150
41.	Hero at Large	MGM / United Artists	Martin Davidson	$15,934,737
42.	The Long Riders	United Artists	Walter Hill	$15,795,189
43.	The Island	Universal	Michael Ritchie	$15,716,828
