Rider	Manufacturer	Laps	Time/Retired	Grid
Andrea Dovizioso	Honda	27	48:40.173	6
Alex de Angelis	Aprilia	27	+22.102	1
Hiroshi Aoyama	KTM	27	+1:03.137	10
Yuki Takahashi	Honda	27	+1:03.370	11
Shuhei Aoyama	Honda	27	+1:25.269	12
Mika Kallio	KTM	27	+2:07.333	5
Julián Simón	Honda	26	+1 Lap	3
Ratthapark Wilairot	Honda	26	+1 Lap	17
Dan Linfoot	Aprilia	26	+1 Lap	21
Karel Abraham	Aprilia	26	+1 Lap	24
Fabrizio Lai	Aprilia	26	+1 Lap	14
Dirk Heidolf	Aprilia	26	+1 Lap	19
Taro Sekiguchi	Aprilia	26	+1 Lap	22
Alex Baldolini	Aprilia	26	+1 Lap	18
Imre Toth	Aprilia	26	+1 Lap	23
Efren Vazquez	Aprilia	25	+2 Laps	25
Toby Markham	Yamaha	25	+2 Laps	26
Aleix Espargaró	Aprilia	23	Retirement	16
Roberto Locatelli	Gilera	14	Accident	13
Jules Cluzel	Honda	14	Retirement	20
Jorge Lorenzo	Aprilia	10	Accident	2
Thomas Luthi	Aprilia	10	Accident	9
Marco Simoncelli	Gilera	9	Accident	7
Álvaro Bautista	Aprilia	8	Accident	4
Eugene Laverty	Honda	6	Accident	15
Héctor Barberá	Aprilia	5	Retirement	8
