Artist/Band	Song	Disney affiliated	Released	US exclusive	EU exclusive
Miley Cyrus	7 Things	Yes	2008	No	No
Miley Cyrus	Fly on the Wall	Yes	2009	No	No
Miley Cyrus	The Climb	Yes	2009	No	No
Miley Cyrus	Hoedown Throwdown	Yes	2009	No	No
Demi Lovato	Get Back	Yes	2008	No	No
Demi Lovato	La La Land	Yes	2008	No	No
Demi Lovato	Don't Forget	Yes	2009	No	No
Jonas Brothers	Hold On	Yes	2007	No	No
Jonas Brothers	SOS	Yes	2007	No	No
Jonas Brothers	When You Look Me In The Eyes	Yes	2008	No	No
Jonas Brothers	Lovebug	Yes	2008	No	No
Jonas Brothers	Burnin' Up	Yes	2008	No	No
Colbie Caillat	Realize	No	2008	No	No
Colbie Caillat	Bubbly	No	2007	No	No
Vanessa Hudgens	Sneakernight	Yes	2008	No	No
Jesse McCartney	It's Over	No	2008	Yes	No
Jesse McCartney	How Do You Sleep	No	2009	No	No
Taylor Swift	I'm Only Me When I'm With You	No	2006	No	No
Taylor Swift	Change	No	2008	No	No
OneRepublic	Apologize	No	2006	No	No
Duffy	Warwick Avenue	No	2008	No	No
Duffy	Mercy	No	2008	No	No
Coldplay	Violet Hill	No	2008	No	No
Steve Rushton	Emergency	No	2009	No	No
Love & Theft	Don't Wake Me	No	2009	Yes	No
Mitchel Musso	Let It Go (with Tiffany Thornton )	Yes	2009	Yes	No
Mitchel Musso	The In Crowd	Yes	2008	Yes	No
Hannah Montana	Let's Do This	Yes	2009	No	No
Hannah Montana	Let's Get Crazy	Yes	2009	No	No
Jem	It's Amazing	No	2008	No	No
High School Musical 3	Right Here, Right Now	Yes	2008	No	Yes
High School Musical 3	Scream	Yes	2008	No	Yes
Ismael	Dame Besos	Yes	2009	No	Yes
