Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K220IV	91.9	North Pole, Alaska	62	D	FCC
K209FB	89.7	Edison, California	10	D	FCC
K211CO	90.1	Redding, California	250	D	FCC
K232DQ	94.3	Redding, California	10	D	FCC
K206CO	89.1	Ridgecrest, California	38	D	FCC
K242AT	96.3	Salinas, California	10	D	FCC
K212FA	90.3	Temple City, California	10	D	FCC
K215EM	90.9	Eagle, Colorado	50	D	FCC
K215BV	90.9	Vail, Colorado	250	D	FCC
W204BL	88.7	Gainesville, Florida	120	D	FCC
W227AV	93.3	Newberry, Florida	10	D	FCC
W205CC	88.9	Dekalb, Illinois	10	D	FCC
W205BT	88.9	New Albany, Indiana	10	D	FCC
K218DR	91.5	Bellaire, Sedgwick County, Kansas	99	D	FCC
K217EN	91.3	Great Bend, Kansas	34	D	FCC
W218CJ	91.5	Grand Ledge, Michigan	27	D	FCC
K249ED	97.7	Albertville, Minnesota	170	D	FCC
K221ES	92.1	Albertville, Minnesota	250	D	FCC
K277AS	103.3	Big Lake, Minnesota	10	D	FCC
K294BN	106.7	Great Falls, Montana	170	D	FCC
K209CJ	89.7	Tooele, UT	10	D	FCC
K208DJ	89.5	Great Falls, Montana	70	D	FCC
K218DL	91.5	Scottsbluff, Nebraska	23	D	FCC
K207DU	89.3	Spring Valley, Nevada	75	D	FCC
W206AQ	89.1	Plattsburgh, New York	10	D	FCC
W273BL	102.5	Akron, Ohio	10	D	FCC
W279BT	103.7	Cleveland, Ohio	5	D	FCC
K214CI	90.7	Eugene, Oregon	10	D	FCC
W219CY	91.7	Irmo, South Carolina	55	D	FCC
K209BT	89.7	Plainview, Texas	250	D	FCC
