Official #	TF1 #	French title	English title	Air date (France)	Original Beechwood Bunny Tale / Source material
5	5	"L'exploit de Tante Zinia"	"Born to Be Bunnies"	22 September 2004	L'exploit de tante Zinia
6	8	"Les Passiflore mènent l'enquête"	"Bunnies on a Case"	13 October 2004	Les Passiflore mènent l'enquête
7	6	"Les beignets flambés"	"Firemen or Firewomen"	29 September 2004	Les beignets flambés
10	9	"L'invention d'Onésime"	"Papa Bramble's Invention"	20 October 2004	L'invention d'Onésime Passiflore
12	12	"En avant la musique"	"Face the Music"	17 November 2004	En avant, la musique!
14	26	"Dentdelion et le bébé marmotte"	"Dandelion and the Baby Groundhog"	23 February 2005	Teleplay by Valérie Baranski
15	13	"La clé du bonheur"	"The Key to Happiness"	24 November 2004	Teleplay by Valérie Baranski
16	14	"Pirouette sous les feux de la rampe"	"In the Limelight"	1 December 2004	Teleplay by Valérie Baranski
17	15	"Coup de foudre aux Airelles"	"Love at First Sight"	8 December 2004	Teleplay by Valérie Baranski
18	22	"Au pays des fantômes"	"Weird Country"	26 January 2005	Teleplay by Valérie Baranski
19	21	"Dentdelion fait son cinéma"	"The Silver Screen"	19 January 2005	Teleplay by Valérie Baranski
20	23	"Agaric et le sorcier"	"Periwinkle and the Witch Doctor"	2 February 2005	Teleplay by Valérie Baranski
21	18	"Le pacte du lac"	"The Monster of Blueberry Lake"	29 December 2004	Teleplay by Valérie Baranski
22	16	"Le secret d'Onésime"	"Papa Bramble's Secret"	15 December 2004	Teleplay by Valérie Baranski
23	19	"Vive les vacances"	"Holiday with Love"	5 January 2005	Teleplay by Valérie Baranski
24	20	"Chez les petits savants"	"At the Science Academy"	12 January 2005	Teleplay by Valérie Baranski
25	24	"Au cœur de la source"	"The Heart of the Spring"	9 February 2005	Teleplay by Valérie Baranski
