Rank	Show	Episode	Number of Viewers	Date
1	Dynamo: Magician Impossible	2.01	1,927,000	5 July 2012
2	Dynamo: Magician Impossible	2.02	1,826,000	12 July 2012
3	Dynamo: Magician Impossible	2.03	1,793,000	19 July 2012
4	Dynamo: Magician Impossible	1.04	1,441,000	28 July 2011
5	Dynamo: Magician Impossible	1.02	1,391,000	14 July 2011
6	Dynamo: Magician Impossible	1.03	1,384,000	21 July 2011
6	Dynamo: Magician Impossible	2.04	1,384,000	26 July 2012
7	Alcatraz	1.01 - Pilot	1,299,000	13 March 2012
8	Alcatraz	1.06 - Paxton Petty	1,229,000	17 April 2012
9	Alcatraz	1.08 - The Ames Brothers	1,193,000	1 May 2012
10	Dynamo: Magician Impossible	3.01	1,193,000	11 July 2013
