Date	Venue	Result	Scored	Competition
4 December 2009	Siu Sai Wan Sports Ground , Hong Kong	4–1	0	2009 East Asian Games
8 December 2009	Siu Sai Wan Sports Ground , Hong Kong	0–1	0	2009 East Asian Games
10 December 2009	Hong Kong Stadium , Hong Kong	1–1 (4–2 PSO )	0	2009 East Asian Games
26 January 2011	Sai Tso Wan Recreation Ground , Hong Kong	1–0	0	Friendly
9 February 2011	Po Kong Village Park , Hong Kong	1–4	0	Friendly
23 February 2011	Hong Kong Stadium , Hong Kong	4–0	0	2012 AFC Men's Pre-Olympic Tournament
9 March 2011	Rasmee Dhandu Stadium , Malé , Maldives	3–0	0	2012 AFC Men's Pre-Olympic Tournament
6 June 2010	Xianghe Sports Center , Beijing	0–1	0	Friendly
12 June 2010	Xianghe Sports Center , Beijing	0–2	0	Friendly
19 June 2011	JAR Stadium , Tashkent , Uzbekistan	0–1	0	2012 AFC Men's Pre-Olympic Tournament
