Rank	Country	Jerseys	Vuelta Wins	Points	KoM	Combo	Most recent cyclist	Most recent date	Different holders
1	Spain	631	31	15	45	12	Daniel Moreno	2013 , stage 9	85
2	France	155	9	5	7	2	Sylvain Chavanel	2011 , stage 7	24
3	Belgium	140	7	13	1	2	Philippe Gilbert	2010 , stage 7	26
4	Italy	100	5	4	3	1	Vincenzo Nibali	2013 , stage 18	18
5	Switzerland	89	5	2	2	1	Fabian Cancellara	2009 , stage 7	5
6	Germany	50	4	7	0	0	André Greipel	2009 , stage 6	7
7	Netherlands	45	2	5	1	0	Bauke Mollema	2011 , stage 9	10
8	Russia	30	2	0	1	2	Denis Menchov	2007 , stage 21	3
9	United Kingdom	26	0	1	0	0	Bradley Wiggins	2011 , stage 14	6
10	Colombia	23	1	0	6	1	Santiago Botero	2001 , stage 7	4
11	Ireland	17	1	4	0	2	Nicolas Roche	2013 ,stage 8	3
12	United States	12	1	0	0	1	Chris Horner	2013 , stage 21	3
13=	Portugal	5	0	0	0	0	Joaquim Agostinho	1976 , stage 16	1
13=	Kazakhstan	5	1	0	0	1	Alexander Vinokourov	2006 , stage 21	1
13=	Australia	5	0	0	1	0	Cadel Evans	2009 , stage 8	2
13=	Denmark	5	0	0	0	0	Jakob Fuglsang	2011 , stage 1	2
17=	Norway	3	0	1	0	0	Thor Hushovd	2006 , stage 4	1
17=	Slovenia	3	0	0	0	0	Janez Brajkovič	2013 , stage 1	1
18	Luxembourg	2	0	0	0	0	Benoît Joachim	2004 , stage 4	1
