Draw	Language	Artist	Song	English translation	Place	Points
01	Serbian	Baby Doll	" Brazil " (Бразил)	—	21	1
02	Icelandic	Stefán & Eyfi	" Draumur um Nínu "	Nina	15	26
03	English	Georgina & Paul Giordimaina	" Could It Be "	—	6	106
04	Greek	Sophia Vossou	" I Anixi " (Η άνοιξη)	Spring	13	36
05	Italian	Sandra Simó	" Canzone per te "	A song for you	5	118
06	German	Thomas Forstner	" Venedig im Regen "	Venice in the rain	22	0
07	French	Sarah Bray	" Un baiser volé "	A stolen kiss	14	29
08	Swedish	Carola	" Fångad av en stormvind "	Captured by a stormwind	1	146
09	French	Amina	" C'est le dernier qui a parlé qui a raison "	It's the last one who spoke who is right	2	146
10	Turkish	İzel Çeliköz , Reyhan Karaca & Can Uğurluer	" İki Dakika "	Two minutes	12	44
11	English	Kim Jackson	" Could It Be That I'm In Love "	—	10	47
12	Portuguese	Dulce Pontes	" Lusitana paixão "	Lusitanian passion	8	62
13	Danish	Anders Frandsen	" Lige der hvor hjertet slår "	Just where the heart beats	19	8
14	Norwegian	Just 4 Fun	" Mrs. Thompson "	—	17	14
15	Hebrew	Duo Datz	" Kan " (כאן)	Here	3	139
16	Finnish	Kaija Kärkinen	" Hullu yö "	A crazy night	20	6
17	German	Atlantis 2000	" Dieser Traum darf niemals sterben "	This dream may never die	18	10
18	Dutch	Clouseau	" Geef het op "	Give it up	16	23
19	Spanish	Sergio Dalma	" Bailar pegados "	Dancing closely	4	119
20	English	Samantha Janus	" A Message to Your Heart "	—	10	47
21	Greek	Elena Patroklou	" SOS "	—	9	60
22	Neapolitan	Peppino di Capri	" Comme è ddoce 'o mare "	How sweet is the sea	7	89
