Position	Artist	Song title	Highest position	Points
1	Chubby Checker	" Let's Twist Again "	2	518
2	Anita Lindblom	" Sån't är livet "	1	383
3	Elvis Presley	" Good Luck Charm "	1	368
4	Conny Froboess	" Zwei kleine Italiener "	1	366
5	Cliff Richard	" The Young Ones "	2	294
6	Elvis Presley	" Return to Sender "	1	288
7	Nora Brockstedt	" Æille så ner som a Ingebjørg "	2	263
8	Jim Reeves	" Adios Amigo "	2	257
9	Little Eva	" The Loco-Motion "	1	254
10	Pat Boone	" Speedy Gonzales "	1	253
11	Grynet Molvig	" Det var du som sa nei "	1	247
12	Bobby Vinton	" Roses Are Red (My Love) "	1	233
13	Elvis Presley	" She's Not You "	1	232
14	Leroy Van Dyke	" Walk On By "	1	231
16	Cliff Richard	" I'm Lookin' Out the Window "	2	214
17	Ray Adams	" Jag har bott vid en landsväg "	5	187
18	Bobby Darin	" Multiplication "	4	183
19	Ray Charles	" I Can't Stop Loving You "	4	179
20	Elvis Presley	" King of the Whole Wide World "	1	175
21	Chris Montez	" Let's Dance "	2	173
22	Frank Ifield	" Lovesick Blues "	2	169
23	Elvis Presley	" Rock-A-Hula Baby "	6	144
24	The Shadows	" Wonderful Land "	2	143
25	Jack Dailey	" No øl, no vin, no dram "	5	140
26	Pat Boone	" Johnny Will "	1	137
27	Roy Orbison	" Dream Baby "	5	136
28	Cliff Richard and the Shadows	" It'll Be Me "	2	129
29	The Monn Keys	" Stakkars store sterke karer "	5	127
30	Perry Como "	" Caterina "	6	121
31	Duane Eddy & The Rebeletts	" (Dance With the) Guitar Man "	3	114
32	Peter Kraus	" Schwarze Rose, Rosemarie "	5	110
33	Kenny Ball and his Jazzmen	" Midnight in Moscow "	6	109
34	Johnny Tillotson	" Send Me the Pillow That You Dream On "	3	107
35	Nat King Cole	" Ramblin' Rose "	5	104
36	Frank Ifield	" I Remember You "	4	101
37	Helen Shapiro	" Tell Me What He Said "	5	100
38	Bobby Darin	" Things "	5	99
39	Burl Ives	" A Little Bitty Tear "	5	98
40	Brian Hyland	" Ginny Come Lately "	5	94
41	The Tornados	" Telstar "	3	92
42	Susan Maughan	" Bobby's Girl "	6	86
43	Dave Appell	" Happy Jose "	6	77
44	Del Shannon	" Swiss Maid "	8	75
45	Brenda Lee	" Speak to Me Pretty "	8	72
46	Clyde McPhatter	" Lover Please "	6	64
47	Mike Sarne	" Come Outside "	7	62
48	Neil Sedaka	" Happy Birthday Sweet Sixteen "	8	60
49	Gunnar Engedahl & Erling Stordahl	" I tresko og busserull "	7	48
50	The Drifters	" When My Little Girl Is Smiling "	8	47
51	Nora Brockstedt	" Guri Malla "	8	36
52	The Quivers	" Piken i dalen "	9	34
53	Jan Høiland	" Quando, Quando, Quando "	10	33
54	Bjørg og Per Gunnar	" Mari og Ola "	9	23
55	The Shadows	" Guitar Tango "	10	22
56	Paul Anka	" A Steel Guitar And A Glass Of Wine "	10	11
