Outcome	Date	Tournament	Surface	Opponent	Score
Winner	2 March 2006	Mazatlán ,	Hard	Andrea Remynse	6–2, 6–4
Winner	9 March 2006	Los Mochis	Clay	Agustina Lepore	6–2, 6–1
Runner-up	28 May 2006	Monterrey	Hard	Betina Jozami	3–6, 3–6
Runner-up	28 Aug 2006	Bogota	Clay	Jesica Orselli	5–7, 3–6
Runner-up	04 September 2006	Caracas	Hard	Story Tweedie-Yates	3–6, 3–6
Winner	11 September 2006	Caracas	Clay	Florencia Molinero	3–4 ret.
Runner-up	06 Mar 2007	Toluca	Hard	Stella Menna	1–6, 5–7
Winner	27 March 2007	Xalapa	Hard	Maria Vanina Garcia Sokol	6–3, 7–6
Winner	30 September 2007	Puerto Juárez	Clay	Soledad Esperón	6–3, 7–5
Winner	21 October 2007	San Luis Potosí	Hard	Arantxa Rus	3–6, 6–4, 6–3
Winner	11 May 2008	Irapuato	Hard	Nikola Fraňková	6–4, 3–6, 6–3
Winner	13 July 2008	Bogotá	Clay	María Fernanda Álvarez Terán	6–0, 6–4
Runner–up	14 February 2010	Cali	Clay	Polona Hercog	4–6, 7–5, 2–6
Winner	17 July 2011	Bogotá	Clay	María Fernanda Álvarez Terán	7-6 (8) 4-6 6-3
Winner	14 August 2011	Versmold	Clay	Scarlett Werner	7-6 (7) 7-5
Runner–up	11 September 2011	Biella	Clay	Alexandra Cadanțu	4–6, 3–6
Winner	20 May 2012	Saint-Gaudens	Clay	Claire Feuerstein	4–6, 6–3, 6–2
Winner	10 October 2012	Florence	Hard	Stéphanie Dubois	4-6 6-2 6-1
Runner–up	4 November 2012	New Braunfels	Hard	Melanie Oudin	1–6, 1–6
Winner	31 March 2013	Osprey	Clay	Estrella Cabeza Candela	7-6 (7) 6-1
Winner	8 April 2013	Pelham	Clay	Kurumi Nara	1–6, 6–3, 6–4
Winner	20 October 2013	Rock Hill	Hard	Anna Tatishvili	6–3, 6–4
