Tie no	Home team	Score	Away team	Date
1	Chesterfield	1–0	Doncaster Rovers	14 December 1974
2	Hartlepool	0–0	Lincoln City	14 December 1974
Replay	Lincoln City	1–0	Hartlepool	17 December 1974
3	Rochdale	1–1	Tranmere Rovers	14 December 1974
Replay	Tranmere Rovers	1–0	Rochdale	16 December 1974
4	Blackburn Rovers	1–0	Darlington	14 December 1974
5	Grimsby Town	1–1	Bury	14 December 1974
Replay	Bury	2–1	Grimsby Town	17 December 1974
6	Stafford Rangers	2–1	Halifax Town	14 December 1974
7	Swindon Town	3–1	Maidstone United	14 December 1974
8	Bishop Auckland	0–2	Preston North End	14 December 1974
9	Ilford	0–2	Southend United	14 December 1974
10	Wycombe Wanderers	0–0	A.F.C. Bournemouth	14 December 1974
Replay	A.F.C. Bournemouth	1–2	Wycombe Wanderers	18 December 1974
11	Brighton & Hove Albion	1–0	Brentford	14 December 1974
12	Plymouth Argyle	2–1	Crystal Palace	14 December 1974
13	Wimbledon	2–0	Kettering Town	14 December 1974
14	Altrincham	3–0	Gateshead United	14 December 1974
15	Newport County	1–3	Walsall	14 December 1974
16	Rotherham United	2–1	Northampton Town	14 December 1974
17	Wigan Athletic	1–1	Mansfield Town	14 December 1974
Replay	Mansfield Town	3–1	Wigan Athletic	16 December 1974
18	Peterborough United	3–0	Charlton Athletic	14 December 1974
19	Leatherhead	1–0	Colchester United	14 December 1974
20	Cambridge United	2–0	Hereford United	14 December 1974
