Barangay	Population (2004)	Population (2010)	Area (km 2 )	District
Bangkal	22433	23378	0.74	1st
Bel-Air	9330	18280	1.71	1st
Carmona	3699	3096	0.34	1st
Cembo	25815	27998	0.22	2nd
Comembo	14174	14433	0.27	2nd
Dasmariñas	5757	5654	1.90	1st
East Rembo	23902	26433	0.44	2nd
Forbes Park	3420	2533	2.53	1st
Guadalupe Nuevo	22493	18271	0.57	2nd
Guadalupe Viejo	13632	16411	0.62	2nd
Kasilawan	6224	5291	0.09	1st
La Paz	8843	7931	0.32	1st
Magallanes	7509	5576	1.20	1st
Olympia	20172	21270	0.44	1st
Palanan	16614	17283	0.65	1st
Pembo	35035	44803	1.23	2nd
Pinagkaisahan	6186	5804	0.16	2nd
Pio del Pilar	22495	27035	1.20	1st
Pitogo	13367	15332	0.14	2nd
Poblacion	8446	17120	0.46	1st
Post Proper North	1475	6010	0.45	2nd
Post Proper South	25037	45310	0.60	2nd
Rizal	37022	41959	0.24	2nd
San Antonio	12226	11443	0.89	1st
San Isidro	8686	7589	0.50	1st
San Lorenzo	6487	10006	2.09	1st
Santa Cruz	7419	7440	0.47	1st
Singkamas	6226	7426	0.13	1st
South Cembo	13570	14672	0.20	2nd
Tejeros	16820	13868	0.29	1st
Urdaneta	3817	3717	0.74	1st
Valenzuela	5908	7261	0.24	1st
