Year	Award	Nominated Work	Category	Result
2007	Premios Oye!	Lola... Érase una vez (album)	Artista Revelacion	Nominated
2008	Premios TV y Novelas	Lola, érase una vez	Actriz Revelacion del Año	Won
2009	Premio Lo Nuestro	Lola... Érase una vez (álbum)	Revelación Pop del Año	Won
2011	Kids Choice Awards México	Sueña conmigo	Personaje Femenino Favorito de una Serie	Nominated
2011	Kids Choice Awards Argentina	Sueña conmigo	Mejor actriz	Nominated
2011	Kids Choice Awards Argentina	Sueña conmigo	Revelacion en TV	Won
2011	Meus Premios Nick	Sueña conmigo	Mejor actriz	Nominated
2011	Meus Premios Nick	Sueña conmigo	Cabello Maluco	Nominated
2012	Premios Juventud	Moda (Style)	Quiero Vestir Como Ella	Nominated
2012	Premios Celebrity E!	Amores Verdaderos	Celebridad del Año	Nominated
2013	Premios Juventud	Me Puedes Pedir Lo Que Sea (feat Marconi)	Mejor Tema Novelero	Won
2013	Premios Juventud	Amores Verdaderos	Chica Que Me Quita El Sueño	Nominated
2013	MTV Millennial Awards	Eiza González	Bizcocho del Año	Nominated
2013	Kids Choice Awards México	Eiza González	Solista Favorito	Won
2013	Kids Choice Awards México	Eiza González por "Epp" en Los Croods	Doblaje Favorito en Película	Won
