Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	13	Mattias Ohlund	Luleå HF ( Swe )	770	52
2	39	Robb Gordon	Powell River Paper Kings ( BCJHL )	4	0
2	42	Dave Scatchard	Portland Winterhawks ( WHL )	179	0
3	65	Chad Allan	Saskatoon Blades ( WHL )	0	0
4	92	Mike Dubinsky	Brandon Wheat Kings ( WHL )	0	0
5	117	Yanick Dube	Laval Titan ( QMJHL )	0	0
7	169	Yuri Kuznetsov	Avangard Omsk ( Rus )	0	0
8	195	Rob Trumbley	Moose Jaw Warriors ( WHL )	0	0
9	221	Bill Muckalt	University of Michigan ( NCAA )	106	0
10	247	Tyson Nash	Kamloops Blazers ( WHL )	0	0
11	273	Robert Longpre	Medicine Hat Tigers ( WHL )	0	0
