Date	Opponent	Location	Irish Points	Opp. Points	Record
Nov. 15/08	Central Connecticut	Tampa, FL	100	41	1-0
Nov. 16/08	Loyola, MD	Tampa, FL	94	46	2-0
Nov. 18/08	Stetson	Tampa, FL	103	55	3-0
Nov. 23/08	Coppin State	Tampa, FL	97	43	4-0
Nov. 27/08	California	St. Thomas, US Virgin Islands	55	85	4-1
Nov. 28/08	Iowa	St. Thomas, US Virgin Islands	82	79	5-1
Nov. 29/08	Texas Tech	St. Thomas, US Virgin Islands	71	61	6-1
Dec. 5/08	Florida International	Tampa, FL	99	71	7-1
Dec. 14/08	North Florida	Tampa, FL	90	44	8-1
Dec. 18/08	Grambling	Tampa, FL	126	62	9-1
Dec. 20/08	Northern Arizona	Tampa, FL	82	43	10-1
Dec. 21/08	Southern	Tampa, FL	100	47	11-1
Dec. 28/08	Jackson State	Tampa, FL	110	51	12-1
Dec. 30/08	Tulane	New Orleans, LA	80	66	13-1
Jan. 3/09	Marquette	Milwaukee, WI	60	68	13-2
Jan. 6/09	Connecticut	Tampa, FL	37	83	13-3
Jan. 10/09	St. John’s	Tampa, FL	81	71	14-3
Jan. 14/09	Louisville	Tampa, FL	60	76	14-4
Jan. 17/09	Pittsburgh	Pittsburgh, PA	47	79	14-5
Jan. 20/09	Providence	Providence, RI	86	62	15-5
Jan. 24/09	Georgetown	Tampa, FL	68	86	15-6
Jan. 31/09	Rutgers	New Brunswick, NJ	59	58	16-6
Feb. 3/09	Marquette	Tampa, FL	56	71	16-7
Feb. 8/09	Syracuse	Syracuse, NY	88	79	17-7
Feb. 14/09	Seton Hall	Tampa, FL	80	51	18-7
Feb. 17/09	Notre Dame	Tampa, FL	79	86	18-8
