Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1960	July 31	Fireball Roberts	John Hines	Pontiac	200	300 (482.803)	2:29:47	112.652	Report
1961	September 17	David Pearson	John Masoni	Pontiac	267	400.5 (644.542)	3:11:39	125.384	Report
1962	October 28	Rex White	Rex White	Chevrolet	267	400.5 (644.542)	3:12:24	124.74	Report
1963	June 30	Junior Johnson	Ray Fox	Chevrolet	267	400.5 (644.542)	3:18:42	121.139	Report
1964	June 7	Ned Jarrett	Bondy Long	Ford	267	400.5 (644.542)	3:33:32	112.535	Report
1965	June 13	Marvin Panch	Wood Brothers Racing	Ford	267	400.5 (644.542)	3:38:13	110.12	Report
1966	August 7	Richard Petty	Petty Enterprises	Plymouth	267	400.5 (644.542)	3:04:30	130.244	Report
1967	August 6	Dick Hutcherson	Bondy Long	Ford	334	501 (806.281)	3:47:14	132.286	Report
1968	August 4	LeeRoy Yarbrough	Junior Johnson & Associates	Ford	334	501 (806.281)	3:56:34	127.068	Report
1969	August 10	LeeRoy Yarbrough	Junior Johnson & Associates	Ford	334	501 (806.281)	3:45:35	133.001	Report
1970	August 2	Richard Petty	Petty Enterprises	Plymouth	328	499.216 (803.41)	3:29:53	142.712	Report
1971	August 1	Richard Petty	Petty Enterprises	Plymouth	328	499.216 (803.41)	3:52:05	129.061	Report
1972	July 23	Bobby Allison	Richard Howard	Chevrolet	328	499.216 (803.41)	3:47:08	131.295	Report
1973	July 22	David Pearson	Wood Brothers Racing	Mercury	328	499.216 (803.41)	3:50:01	130.211	Report
1974	July 28	Richard Petty	Petty Enterprises	Dodge	328	499.216 (803.41)	3:42:31	131.651	Report
1975	November 9	Buddy Baker	Bud Moore Engineering	Ford	328	499.216 (803.41)	3:48:40	130.99	Report
1976	November 7	Dave Marcis	Nord Krauskopf	Dodge	328	499.216 (803.41)	3:55:07	127.396	Report
1977	November 6	Darrell Waltrip	DiGard Motorsports	Chevrolet	268*	407.896 (656.444)	3:42:23	110.052	Report
1978	November 5	Donnie Allison	Ellington Racing	Chevrolet	328	499.216 (803.41)	4:00:43	124.312	Report
1979	November 4	Neil Bonnett	Wood Brothers Racing	Mercury	328	499.216 (803.41)	3:33:46	140.12	Report
1980	November 2	Cale Yarborough	Junior Johnson & Associates	Chevrolet	328	499.216 (803.41)	3:48:19	131.19	Report
1981	November 8	Neil Bonnett	Wood Brothers Racing	Ford	328	499.216 (803.41)	3:49:43	130.391	Report
1982	November 7	Bobby Allison	DiGard Motorsports	Buick	328	499.216 (803.41)	3:48:51	130.884	Report
