Place	Player	Country	Score	To par	Money ( $ )
1	Curtis Strange	United States	71-64-73-70=278	–2	200,000
T2	Chip Beck	United States	71-69-71-68=279	–1	67,823
T2	Mark McCumber	United States	70-68-72-69=279	–1	67,823
T2	Ian Woosnam	Wales	70-68-73-68=279	–1	67,823
5	Brian Claar	United States	71-72-68-69=280	E	34,345
T6	Masashi Ozaki	Japan	70-71-68-72=281	+1	28,220
T6	Scott Simpson	United States	67-70-69-75=281	+1	28,220
8	Peter Jacobsen	United States	71-70-71-70=282	+2	24,307
T9	Paul Azinger	United States	71-72-70-70=283	+3	19,968
T9	Hubert Green	United States	69-72-74-68=283	+3	19,968
T9	Tom Kite	United States	67-69-69-78=283	+3	19,968
T9	José María Olazábal	Spain	69-72-70-72=283	+3	19,968
