Team	Driver	Laps	Time	Grid
New Zealand	Jonny Reid	10	18'11.609	2
Great Britain	Robbie Kerr	10	+5.952	3
Ireland	Adam Carroll	10	+8.824	4
South Africa	Adrian Zaugg	10	+10.269	1
Netherlands	Jeroen Bleekemolen	10	+11.561	5
France	Nicolas Lapierre	10	+11.803	10
Germany	Christian Vietoris	10	+13.200	7
Switzerland	Neel Jani	10	+13.447	6
Portugal	João Urbano	10	+18.570	8
China	Congfu Cheng	10	+18.801	11
Brazil	Sérgio Jimenez	10	+22.172	9
Canada	James Hinchcliffe	10	+23.996	20
Mexico	Michel Jourdain Jr.	10	+24.927	15
Italy	Enrico Toccacelo	10	+25.922	16
Pakistan	Adam Langley-Khan	10	+28.763	13
USA	Buddy Rice	10	+31.076	14
Malaysia	Alex Yoong	10	+33.661	18
Czech Republic	Erik Janis	10	+34.715	21
Indonesia	Satrio Hermanto	10	+48.189	17
Lebanon	Khalil Beschir	10	+49.830	22
India	Narain Karthikeyan	10	+1'37.816	12
Australia	Ian Dyk	3	+7 Laps	19
