Date	Tournament	Winning score	Margin of victory	Runner(s)-up
7 Sep 1988	U.S. Women's Open	–7 (67-72-69-69=277)	3 strokes	Patty Sheehan
10 Nov 1991	Mazda Japan Classic	–5 (70-72-69=211)	2 strokes	Caroline Keggi , Dottie Pepper
12 Jun 1994	Minnesota LPGA Classic	–11 (68-71-66=205)	2 strokes	Hiromi Kobayashi
12 Aug 1994	Weetabix Women's British Open	–14 (71-67-70-72=280)	3 strokes	Dottie Pepper , Annika Sörenstam
2 Oct 1994	GHP Heartland Classic	–10 (70-71-67-70=278)	3 strokes	Elaine Crosby , Pearl Sinn
14 Jan 1996	Chrysler-Plymouth Tournament of Champions	–13 (67-66-72-70=275)	11 strokes	Karrie Webb
17 Mar 1996	PING/Welch's Championship (Tucson)	–12 (68-71-69-68=276)	1 stroke	Cathy Johnston-Forbes
6 Jun 1996	Edina Realty LPGA Classic	–9 (67-73-67=207)	Playoff	Brandie Burton , Carin Koch , Suzanne Strudwick
21 Sep 1997	Welch's Championship	–12 (67-70-69-70=276)	3 strokes	Nancy Harvey
9 Nov 1997	Toray Japan Queens Cup	–11 (68-70-67=205)	1 sttroke	Lorie Kane
22 Mar 1998	Standard Register PING	–13 (69-67-69-74=279)	Playoff	Rosie Jones
26 Apr 1998	Chick-fil-A Charity Championship	–14 (67-65-70=202)	2 strokes	Lori Kane , Dottie Pepper
10 Oct 2004	Asahi Ryokuken International Championship	–15 (68-68-69-68=273)	3 strokes	Grace Park
