Place	Player	Country	Score	To par
1	Ricky Barnes	United States	67-65-70=202	–8
2	Lucas Glover	United States	69-64-70=203	–7
T3	David Duval	United States	67-70-70=207	–3
T3	Ross Fisher	England	70-68-69=207	–3
T5	Hunter Mahan	United States	72-68-68=208	–2
T5	Phil Mickelson	United States	69-70-69=208	–2
T5	Mike Weir	Canada	64-70-74=208	–2
T8	Retief Goosen	South Africa	73-68-68=209	–1
T8	Todd Hamilton	United States	67-71-71=209	–1
T8	Sean O'Hair	United States	69-69-71=209	–1
T8	Bubba Watson	United States	72-70-67=209	–1
