Draw	Language	Artist	Song	English translation	Place	Points
01	Portuguese	Manuela Bravo	" Sobe, sobe, balão sobe "	Rise, rise, balloon, rise	9	64
02	Italian	Matia Bazar	" Raggio di luna "	Moonbeam	15	27
03	Danish	Tommy Seebach	" Disco Tango "	—	6	76
04	English	Cathal Dunne	" Happy Man "	—	5	80
05	Finnish	Katri Helena	" Katson sineen taivaan "	I'm looking into the blue of the sky	14	38
06	French	Laurent Vaguener	" Notre vie c'est la musique "	Our life is music	16	12
07	Greek	Elpida	" Sokrati " (Σωκράτη)	Socrates	8	69
08	German	Peter, Sue, Marc , Pfuri, Gorps and Kniri	" Trödler und Co "	Second-handers and Co.	10	60
09	German	Dschinghis Khan	" Dschinghis Khan "	Genghis Khan	4	86
10	Hebrew	Gali Atari and Milk and Honey	" Hallelujah " (הללויה)	—	1	125
11	French	Anne-Marie David	" Je suis l'enfant soleil "	I'm the sun-child	3	106
12	Dutch	Micha Marah	" Hey Nana "	—	19	5
13	French	Jeane Manson	" J'ai déjà vu ça dans tes yeux "	I've already seen that in your eyes	13	44
14	Dutch	Xandra	" Colorado "	—	12	51
15	Swedish	Ted Gärdestad	" Satellit "	Satellite	17	8
16	Norwegian	Anita Skorgan	" Oliver "	—	11	57
17	English	Black Lace	" Mary Ann "	—	7	73
18	German	Christina Simon	" Heute in Jerusalem "	Today in Jerusalem	18	5
19	Spanish	Betty Missiego	" Su canción "	Your song	2	116
