Date	Placing	Beat by	Location	Distance
24Aug02	4th	Ego	Nmk	6GF
14Oct02	4th	Star Sensation	Lei	7GF
07May03	1st	Won	Chs	7GF
04Jun03	1st	Won	Kem	8GF
21Jun03	3rd	Hold to Ransom	Asc	8FM
21Aug03	6th	Vanderlin	Yor	7GF
11Sep03	2nd	Tantina	Don	7GD
11oct03	1st	Won	Asc	7GF
20May04	6th	Gonfilia	Goo	8GF
16Jun04	7th	Favourable Terms	Asc	8GF
30Jul04	3rd	Phantom Wind	Goo	7GF
14Aug04	1st	Won	Nby	7GD
28Aug04	1st	Won	Goo	8GS
02oct04	2nd	Attraction	Nmk	8GD
09Jul05	6th	Autumn Glory	Lin	8ST
27Jul05	12th	Proclamation	Goo	8SFT
28Aug05	1st	Won	Goo	8GD
10Sep05	2nd	Attraction	Leo	8GD/Y
01oct05	5th	Peeress	Nmk	8GS
15oct05	7th	David Junior	Nmk	10GS
