Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	15-Oct-2001	Makarska	Clay	Raffaella Bindi	Petra Raclavska Blanka Kumbarova	4-6, 5-7
Winner	03-Dec-2001	Bangkok	Hard	Kim Jin-hee	Mi-Ra Jeon Manisha Malhotra	6-1 7-5
Runner-up	08-Jan-2002	Tallahassee	Hard	Jacqueline Trail	Jessica Lehnhoff Vanessa Webb	4-6, 3-6
Runner-up	04-Mar-2002	Makarska	Clay	Lenka Tvaroskova	Tina Hergold Yevgenia Savranska	7-5, 3-6, 5-7
Winner	27-May-2002	Makarska	Clay	Jenny Belobrajdic	Zsuzsanna Fodor Dorottya Magas	6-4 6-0
Winner	01-Dec-2002	Nonthaburi Province	Hard	Remi Tezuka	Amanda Augustus Debby Haak	6-2 6-1
Runner-up	22-Nov-2004	San Luis Potosí	Hard	Maria Abramovic	Hannah Collin Karen Paterson	4-6 6-2 2-6
Runner-up	21-Mar-2005	Rome	Clay	Stefanie Haidner	Valentina Sulpizio Sandra Zahlavova	5-7, 7-5, 1-6
Winner	15-Nov-2005	Puebla	Hard	Maria Abramovic	Betina Jozami Veronica Spiegel	6-4, 4-6, 6-7
Runner-up	03-Apr-2006	Putignano	Hard	Maria Abramovic	Anastasia Rodionova Arina Rodionova	6-1, 1-6, 5-7
Winner	15-May-2006	Saint Gaudens	Clay	Alla Kudryavtseva	Maria Jose Argeri Leticia Sobral	6-2 6-0
Winner	31-Jul-2006	Martina Franca	Clay	Aurelie Vedy	Edina Gallovits-Hall Mervana Jugic-Salkic	6-3 6-2
Runner-up	14-Nov-2006	Mexico City	Clay	Maria Abramovic	Larissa Carvalho Joana Cortez	5-7, 2-6
Runner-up	21-Nov-2006	Puebla	Hard	Maria Abramovic	Maria Fernanda Alves Hana Sromova	4-6, 3-6
Winner	29-Nov-2006	San Diego	Hard	Hana Sromova	Christina Fusano Aleke Tsoubanos	6-4 6-3
Runner-up	16-Jul-2007	Dnipropetrovsk	Clay	Maria Abramovic	Amina Rakhim Arina Rodionova	5-7, 6-4, 2-6
Runner-up	24-Sep-2007	Podgorica	Clay	Maria Abramovic	Danica Krstajic Sandra Martinovic	1-6, 2-6
Runner-up	22-Oct-2007	Mexico City	Hard	Maria Abramovic	Arantxa Rus Nicole Thyssen	0-6, 1-6
