Date	Opponent	Home/Away	Field	Result
May 22	Pride	Home	Villanova Stadium	L 13-17
May 29	Rattlers	Away	Bishop Kearney Field	L 17-24
June 6	Lizards	Home	Villanova Stadium	L 12-14
June 12	Pride	Away	Sprague Field	W 15-12
June 19	Bayhawks	Home	Villanova Stadium	L 18-19 OT
June 26	Rattlers	Home	Villanova Stadium	W 19-15
July 10	Cannons	Away	Nickerson Field	L 18-20
July 15	Lizards	Home	Villanova Stadium	W 18-17
July 22	Cannons	Away	Nickerson Field	W 29-20
July 31	Bayhawks	Away	Johnny Unitas Stadium	W 17-13
August 7	Lizards	Away	Mitchel Athletic Complex	W 18-12
August 14	Cannons	Home	Villanova Stadium	W 18-17
