Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	16–5	Tim Means	Decision (unanimous)	UFC on Fox: Johnson vs. Moraga	3	5:00	Seattle, Washington , United States
Win	15–5	Paul Sass	Decision (unanimous)	UFC on Fuel TV: Barao vs. McDonald	3	5:00	London , England
Loss	14–5	Michael Johnson	KO (punches)	UFC on FX: Browne vs. Bigfoot	2	1:06	Minneapolis, Minnesota , United States
Win	14–4	John Cholish	Decision (unanimous)	UFC on Fox: Diaz vs. Miller	3	5:00	East Rutherford, New Jersey , United States
Win	13–4	Anthony Njokuani	Decision (split)	UFC 141	3	5:00	Las Vegas, Nevada , United States
Win	12–4	Shamar Bailey	TKO (punches)	UFC 139	1	4:52	San Jose, California , United States
Loss	11–4	Jacob Volkmann	Decision (unanimous)	UFC Live: Hardy vs. Lytle	3	5:00	Milwaukee, Wisconsin , United States
Win	11–3	Joe Stevenson	Decision (unanimous)	UFC Live: Sanchez vs. Kampmann	3	5:00	Louisville, Kentucky , United States
Win	10–3	Will Kerr	KO (punches)	WEC 53	1	1:25	Glendale, Arizona , United States
Win	9–3	Dustin Poirier	Decision (unanimous)	WEC 50	3	5:00	Las Vegas, Nevada , United States
Loss	8–3	Anthony Pettis	KO (head kick and punches)	WEC 47	1	2:17	Columbus, Ohio , United States
Loss	8–2	Shane Roller	Submission (rear-naked choke)	WEC 44	3	3:32	Las Vegas, Nevada , United States
Win	8–1	Ricardo Lamas	TKO (punches)	WEC 42	2	4:15	Las Vegas, Nevada , United States
Win	7–1	Phil Cardella	Decision (split)	WEC 39	3	5:00	Corpus Christi, Texas , United States
Win	6–1	Rafael Dias	TKO (punches)	WEC 36	2	2:54	Hollywood, Florida , United States
Loss	5–1	Donald Cerrone	Submission (armbar)	WEC 34	1	1:30	Sacramento, California , United States
Win	5–0	Isaiah Hill	Submission (rear-naked choke)	CCFC: Mayhem	1	2:46	Santa Rosa, California , United States
Win	4–0	Andy Salazar	Submission (punches)	Palace Fighting Championship 7	1	1:02	Lemoore, California , United States
Win	3–0	Noah Shinable	TKO (punches)	Cage Combat Fighting Championships	2	2:42	Sonoma, California , United States
Win	2–0	Gigo Jara	Submission (rear-naked choke)	GC 73: High Noon	1	3:45	Sacramento, California , United States
Win	1–0	Billy Terry	Submission (rear-naked choke)	GC 71: Lock-n-Load	1	2:10	Porterville, California , United States
