Race	Length	Class	Circuit	Date
Rolex 24 at Daytona	24 Hours	All	Daytona International Speedway	February 4 February 5
Exxon MasterCard 12 Hours of Sebring	12 Hours	All	Sebring International Raceway	March 18
Rain-X/ Motorola Grand Prix of Atlanta	3 Hours	All	Road Atlanta	April 30
Moosehead Grand Prix	3 Hours	All	Halifax Circuit	May 21
The Dodge Dealers Grand Prix of Lime Rock	1 Hour	GTS	Lime Rock Park	May 29
The Dodge Dealers Grand Prix of Lime Rock	1 Hour 45 Minutes	WSC	Lime Rock Park	May 29
The Glen Continental	3 Hours	All	Watkins Glen International	June 24
Apple Computer Inc. California Grand Prix	1 Hour	GTS-2	Sears Point Raceway	July 16
Apple Computer Inc. California Grand Prix	1 Hour 45 Minutes	WSC/GTS-1	Sears Point Raceway	July 16
Chrysler Mosport 500	3 Hours	All	Mosport International Raceway	August 13
Seitel Texas World Grand Prix	3 Hours	All	Texas World Speedway	September 10
Exxon World Sports Car Championships	1 Hour	GTS-2	Phoenix International Raceway	September 30
Exxon World Sports Car Championships	2 Hours	WSC/GTS-1	Phoenix International Raceway	September 30
Acxiom Grand Prix du Mardi Gras	1 Hour	GTS-2	New Orleans street course	October 8
Acxiom Grand Prix du Mardi Gras	1 Hour 45 Minutes	WSC/GTS-1	New Orleans street course	October 8
