Digital channel	Digital PSIP	Rogers Cable (Ottawa)	Vidéotron (Gatineau)	Call sign	Network
25	4.1	8	6	CBOT-DT	CBC
14	6.1	3	8	CIII-DT-6	Global
9 ( VHF ) / 33 ( UHF )	9.1	5	2	CBOFT-DT	Ici Radio-Canada
22	11.1	18	11	CHCH-DT-1	Independent
13	13.1	7	7	CJOH-DT	CTV
20	14.1	14	15	CJMT-DT-2	Omni Television
24	24.1	2	10	CICO-DT-24	TVOntario
30	30.1	69	3	CIVO-DT	Télé-Québec
42	32.1	25	55	CITS-DT-1	CTS
34	34.1	11	5	CFGS-DT	V
40	40.1	10	4	CHOT-DT	TVA
43	43.1	6	12	CHRO-DT-43	CTV Two
27	60.1	16	14	CFMT-DT-2	Omni Television
17	65.1	15	13	CITY-DT-3	City
