District	Incumbent	Party	First elected	Result	Candidates
Florida 3	Charles Edward Bennett	Democratic	1948	Re-elected	Charles Edward Bennett (D) Unopposed
Florida 5	Bill McCollum	Republican	1980	Re-elected	Bill McCollum (R) Unopposed
Florida 6	Buddy MacKay	Democratic	1982	Retired to run for U. S. Senate Republican gain	Cliff Stearns (R) 53.5% Jon Mills (D) 46.5%
Florida 7	Sam M. Gibbons	Democratic	1962	Re-elected	Sam M. Gibbons (D) Unopposed
Florida 8	Bill Young	Republican	1970	Re-elected	Bill Young (R) 73.0% C. Bette Wimbish (D) 27.0%
Florida 11	Bill Nelson	Democratic	1978	Re-elected	Bill Nelson (D) 60.8% Bill Tolley (R) 39.2%
Florida 12	Tom Lewis	Republican	1982	Re-elected	Tom Lewis (R) Unopposed
Florida 13	Connie Mack	Republican	1982	Retired to run for U. S. Senate Republican hold	Porter Goss (R) 71.2% Jack Conway (D) 28.8%
Florida 14	Dan Mica	Democratic	1978	Retired to run for U. S. Senate Democratic hold	Harry Johnston (D) 54.9% Ken Adams (R) 45.1%
Florida 16	Lawrence J. Smith	Democratic	1982	Re-elected	Lawrence J. Smith (D) 69.4% Joseph Smith (R) 30.6%
Florida 17	William Lehman	Democratic	1972	Re-elected	William Lehman (D) Unopposed
