Week	Date	Opponent	Result	Game site	NFL Recap	Attendance
1	September 9, 1985	Washington Redskins	W 44–14	Texas Stadium	Recap	62,292
2	September 15, 1985	at Detroit Lions	L 21–26	Pontiac Silverdome	Recap	72,985
3	September 22, 1985	Cleveland Browns	W 20–7	Texas Stadium	Recap	61,456
4	September 29, 1985	at Houston Oilers	W 17–10	Astrodome	Recap	49,686
5	October 6, 1985	at New York Giants	W 30–29	Giants Stadium	Recap	74,981
6	October 13, 1985	Pittsburgh Steelers	W 27–13	Texas Stadium	Recap	63,062
7	October 20, 1985	at Philadelphia Eagles	L 14–16	Veterans Stadium	Recap	70,114
8	October 27, 1985	Atlanta Falcons	W 24–10	Texas Stadium	Recap	57,941
9	November 4, 1985	at St. Louis Cardinals	L 10–21	Busch Memorial Stadium	Recap	49,347
10	November 10, 1985	at Washington Redskins	W 13–7	RFK Stadium	Recap	55,750
11	November 17, 1985	Chicago Bears	L 0–44	Texas Stadium	Recap	63,855
12	November 24, 1985	Philadelphia Eagles	W 34–17	Texas Stadium	Recap	54,047
13	November 28, 1985	St. Louis Cardinals	W 35–17	Texas Stadium	Recap	54,125
14	December 8, 1985	at Cincinnati Bengals	L 24–50	Riverfront Stadium	Recap	56,936
15	December 15, 1985	New York Giants	W 28–21	Texas Stadium	Recap	62,310
16	December 22, 1985	at San Francisco 49ers	L 16–31	Candlestick Park	Recap	60,114
