Game	Date	Opponent	Score	Location	Record
60	Fri. Mar. 1	Atlanta Hawks	105-114	Boston Garden	47-13
61	Sun. Mar. 3	Detroit Pistons	138-129	Boston Garden	48-13
62	Tue. Mar. 5	@ New York Knicks	110-102	Madison Square Garden	49-13
63	Wed. Mar. 6	Chicago Bulls	104-107	Boston Garden	49-14
64	Fri. Mar. 8	Dallas Mavericks	133-122	Boston Garden	50-14
65	Tue. Mar. 12	@ Atlanta Hawks	126-115	Lakefront Arena	51-14
66	Wed. Mar. 13	Phoenix Suns	123-106	Boston Garden	52-14
67	Fri. Mar. 15	@ Cleveland Cavaliers	119-96	Richfield Coliseum	53-14
68	Sun. Mar. 17	Houston Rockets	134-120	Boston Garden	54-14
69	Wed. Mar. 20	Milwaukee Bucks	107-105	Boston Garden	55-14
70	Fri. Mar. 22	Cleveland Cavaliers	129-117	Boston Garden	56-14
71	Sat. Mar. 23	@ Washington Bullets	104-98	Capital Centre	57-14
72	Wed. Mar. 27	@ New Jersey Nets	105-95	Brendan Byrne Arena	58-14
73	Fri. Mar. 29	Philadelphia 76ers	112-108	Boston Garden	59-14
74	Sun. Mar. 31	@ Detroit Pistons	105-113	Joe Louis Arena	59-15
