Track	Title	Songwriter(s)	Producer(s)	Length
1	"Intro"	Hadise Açıkgöz	Yves Jongen	0:52
2	" Deli Oğlan "	Sezen Aksu	Hadise Açıkgöz, Yves Jongen	3:12
3	" Aşkkolik "	Deniz Erten	Özgür Buldum	4:08
4	"My Man And The Devil On His Shoulder"	Hadise Açıkgöz, Yves Gallard	Hadise Açıkgöz, Yves Gallard	4:35
5	" My Body "	Hadise Açıkgöz, Yves Jongen	Yves Jongen	3:06
6	"Prisoner"	Hadise Açıkgöz, Stefaan Fernande, Elio Deepcore	Hadise Açıkgöz, Stefaan Fernande, Elio Deepcore	3:52
7	"A Good Kiss"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:12
8	"All Together"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:07
9	"Men Chase Women Choose"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:08
10	"Creep"	Hadise Açıkgöz, Stefaan Fernande, Stano Simor	Hadise Açıkgöz, Stefaan Fernande, Stano Simor	3:44
11	"Good Morning Baby"	Yves Jongen	Yves Jongen	4:16
12	"Don't Ask"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:00
13	"Intimate"	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	3:37
14	"Busy Bee"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:32
15	"Comfort Zone"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	4:09
16	"Who Am I?"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:14
17	"A Song For My Mother"	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	3:32
