Place	Player	Country	Score	To par
1	Ernie Els	South Africa	69-71-66=206	–7
2	Frank Nobilo	New Zealand	69-71-68=208	–5
T3	Hale Irwin	United States	69-69-71=209	–4
T3	Colin Montgomerie	Scotland	71-65-73=209	–4
T3	Loren Roberts	United States	76-69-64=209	–4
T3	Tom Watson	United States	68-73-68=209	–4
T7	Steve Lowery	United States	71-71-68=210	–3
T7	Curtis Strange	United States	70-70-70=210	–3
T9	John Cook	United States	73-65-73=211	–2
T9	Greg Norman	Australia	71-71-69=211	–2
T9	Steve Pate	United States	74-66-71=211	–2
