Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Caldwell, Adrian Adrian Caldwell	44	6-8	Forward	1989-91, 1994-95	Lamar
Carr, Antoine Antoine Carr	55	6-9	Forward	1998-99	Wichita State
Carroll, Joe Barry Joe Barry Carroll	2	7-1	Center / Forward	1987-88	Purdue
Cassell, Sam Sam Cassell	10	6-3	Guard	1993-96	Florida State
Cato, Kelvin Kelvin Cato	13	6-11	Center	1999-2004	Iowa State
Chievous, Derrick Derrick Chievous	3	6-7	Guard / Forward	1988-90	Missouri
Chilcutt, Pete Pete Chilcutt	32	6-10	Forward	1994-96	North Carolina
Coleman, E.C. E.C. Coleman	12, 44	6-8	Forward	1973-74, 1978-79	Houston Baptist
Collier, Jason Jason Collier	52	7-0	Forward / Center	2000-03	Georgia Tech
Colson, Sean Sean Colson	20	6-0	Guard	2000-01	UNC-Charlotte
Conner, Lester Lester Conner	7	6-4	Guard	1987-88	Oregon State
Cook, Brian Brian Cook	43	6-9	Forward	2009-10	Illinois
Cunningham, Dick Dick Cunningham	34	6-10	Center	1971-72	Murray State
Cureton, Earl Earl Cureton	35	6-9	Forward / Center	1993-94	Detroit, Robert Morris
