Season	Overall Spectators	Per game	Best supported Club	Spectators /game	Top goal scorer	Goals
1994–95	427,576	1,397	Stuttgarter Kickers	2,759	Jonathan Akpoborie ( SK )	37
1995–96	353,617	1,156	Stuttgarter Kickers	3,181	Dragan Trkulja ( Ulm )	25
1996–97	779,612	2,548	1. FC Nuremberg	15,328	Frank Türr ( GF )	25
1997–98	693,500	2,375	Kickers Offenbach	12,906	Dieter Eckstein ( FCA )	21
1998–99	568,494	1,858	Kickers Offenbach	11,500	Marijo Maric ( SSV )	23
1999–2000	365,281	1,194	SV Darmstadt 98	3,667	Oliver Djappa ( SSV )	36
2000–01	932,249	3,047	Karlsruher SC	10,050	Marko Barlecaj ( SCP )	18
2001–02	717,193	2,344	Kickers Offenbach	6,911	Saber Ben Neticha ( SVW )	18
2002–03	803,856	2,350	Jahn Regensburg	5,105	Francisco Copado ( SpVggU )	24
2003–04	670,371	2,191	1. FC Saarbrücken	6,141	Zvjezdan Misimovic ( FCB ) José Guerrero ( FCB )	21
2004–05	711,904	2,326	Kickers Offenbach	6,669	Patrick Helmes ( SFS )	21
2005–06	561,058	1,834	TuS Koblenz	4,657	Maximilian Nicu ( SVW ) Christian Okpala ( FCA )	16
2006–07	685,182	2,239	Hessen Kassel	4,383	Mirnes Mesic ( TSG ) Jonathan Jäger ( 1. FCS )	17
2007–08	775,651	2,535	Sportfreunde Siegen	6,095	Thorsten Bauer ( KSV )	20
2008–09	424,619	1,388	Hessen Kassel	4,282	Thorsten Bauer ( KSV )	32
2009–10	367,834	1,202	VfR Aalen	3,258	Mijo Tunjic ( SK ) Abedin Krasniqi ( SG )	19
2010–11	304,647	1,269	Hessen Kassel	5,520	Kai Herdling ( TSG )	19
2011–12	308,062	1,007	Stuttgarter Kickers	3,561	Karl Lappe ( FCI II )	18
