Date	Opponent	Score	Loss	Attendance	Record
August 1	Twins	3 - 1	Viola (16-4)	33,206	52-54
August 2	Twins	11 - 1	Lea (6-5)	30,327	53-54
August 3	Twins	8 - 3	Musselman (3-1)	31,340	53-55
August 4	Twins	2 - 1	Flanagan (10-8)	21,140	53-56
August 5	Royals	7 - 6	Power (5-5)	31,357	54-56
August 6	Royals	11 - 1	Stieb (11-8)	34,411	54-57
August 7	Royals	5 - 1	Clancy (5-12)	37,304	54-58
August 8	Royals	5 - 1	Saberhagen (12-11)	32,234	55-58
August 9	@ Yankees	6 - 3	Candelaria (12-7)	30,089	56-58
August 10	@ Yankees	5 - 0	Rhoden (7-8)	28,026	57-58
August 11	@ Yankees	6 - 5 (11)	Righetti (3-3)	30,347	58-58
August 12	@ Royals	3 - 2	Bannister (9-10)	31,858	59-58
August 13	@ Royals	2 - 0	Saberhagen (12-12)	40,204	60-58
August 14	@ Royals	6 - 0	Flanagan (11-9)	27,262	60-59
August 16	@ White Sox	5 - 4	Key (7-3)	15,706	60-60
August 17	@ White Sox	5 - 1	Clancy (6-13)	14,367	60-61
August 19	Brewers	7 - 4 (10)	Ward (8-2)	34,178	60-62
August 20	Brewers	8 - 1	Flanagan (11-10)	38,315	60-63
August 21	Brewers	8 - 4	August (7-6)	38,424	61-63
August 22	White Sox	6 - 3	Reuss (9-8)	30,501	62-63
August 23	White Sox	7 - 2	Pérez (11-8)	28,443	63-63
August 24	White Sox	6 - 4	Musselman (5-2)	33,385	63-64
August 26	@ Rangers	5 - 1	Flanagan (11-11)	13,642	63-65
August 27	@ Rangers	5 - 3	Key (8-4)	21,578	63-66
August 28	@ Rangers	6 - 5 (11)	McMurtry (2-2)	10,166	64-66
August 29	@ Brewers	6 - 1	Filer (5-8)	10,207	65-66
August 30	@ Brewers	6 - 2	Musselman (5-3)	11,876	65-67
August 31	@ Brewers	4 - 2	Flanagan (11-12)	11,993	65-68
